description,change1_sh,up1_sh,down1_sh,total1,up1,up2,up3,up4,down1,down2,down3,down4,level1,level2,level3,level4,up_ch1,up_ch2,up_ch3,up_ch4,down_ch1,down_ch2,down_ch3,down_ch4,total2,total3,total4,up2_sh,up3_sh,up4_sh,down2_sh,down3_sh,down4_sh,level1_sh,level2_sh,level3_sh,level4_sh,change2_sh,change3_sh,change4_sh,division,_merge
CIGARETTES 2,.31453961,.25472331,.059816293,40173,10233,0,0,0,2403,0,0,0,27537,0,0,0,.016407078,,,,-.0091157304,,,,0,0,0,,,,,,,.68546039,,,,,,,2,matched (3)
DISHWASHER - 2005,.31420162,.12012509,.19407652,5436,653,0,0,0,1055,0,0,0,3728,0,0,0,.12642245,,,,-.096342124,,,,0,0,0,,,,,,,.68579841,,,,,,,5,matched (3)
HOME KILLED BEEF-STEWING STEAK,.31403852,.18539342,.12864509,34327,6364,0,0,0,4416,0,0,0,23547,0,0,0,.083702832,,,,-.087107323,,,,0,0,0,,,,,,,.68596148,,,,,,,1,matched (3)
WOMEN'S DRESS-MAN MADE FIBRE-1,.31385672,.13043642,.18342032,26442,3449,0,0,0,4850,0,0,0,18143,0,0,0,.26832503,,,,-.22374652,,,,0,0,0,,,,,,,.68614328,,,,,,,3,matched (3)
CHILDS JUMPER,.31355932,.14683442,.16672491,34338,5042,1482,358,217,5725,1627,286,190,23571,7085,1140,653,.30111858,.31799319,.38813406,.41666666,-.24549387,-.23502338,-.24993661,-.27861595,10194,1784,1060,.14537963,.20067264,.20471698,.15960369,.1603139,.17924528,.68644071,.69501668,.63901347,.61603773,.30498332,.36098653,.38396227,3,matched (3)
GIRL'S SKIRT SUMMER FABRIC,.31317985,.08044523,.23273464,3953,318,0,0,0,920,0,0,0,2715,0,0,0,.19799866,,,,-.2241345,,,,0,0,0,,,,,,,.68682015,,,,,,,3,matched (3)
WOMEN'S PARTY DRESS,.31260443,.1175051,.19509931,5387,633,0,0,0,1051,0,0,0,3703,0,0,0,.27693114,,,,-.24693148,,,,0,0,0,,,,,,,.68739557,,,,,,,3,matched (3)
WOMEN'S JUMPER -2,.31255203,.12983279,.18271923,13217,1716,0,0,0,2415,0,0,0,9086,0,0,0,.29758343,,,,-.23810305,,,,0,0,0,,,,,,,.68744797,,,,,,,3,matched (3)
HOME KILLED BEEF-TOPSIDE KG,.31233731,.17509596,.13724135,67997,11906,550,0,0,9332,479,0,0,46759,4443,0,0,.13403645,.19957386,,,-.14625363,-.20264904,,,5472,0,0,.10051169,,,.087536551,,,.68766272,.81195176,,,.18804824,,,1,matched (3)
SETTEE-UPHOLSTERED-3-SEATER,.31190503,.16089956,.15100546,37396,6017,0,0,0,5647,0,0,0,25732,0,0,0,.12631918,,,,-.11117496,,,,0,0,0,,,,,,,.68809497,,,,,,,5,matched (3)
MENS 3/4 TO FULL LENGTH COAT,.31175524,.10956522,.20219001,15525,1701,418,35,15,3139,721,78,56,10685,2693,203,85,.3132464,.32475954,.15000001,.23333333,-.25237307,-.25738487,-.14456135,-.089122668,3832,316,156,.10908142,.1107595,.096153848,.1881524,.24683544,.35897437,.68824476,.70276618,.64240509,.54487181,.29723382,.35759494,.45512822,3,matched (3)
WOMEN'S SKIRT-SUMMER FABRIC-2,.31120893,.072468676,.23874027,2953,214,0,0,0,705,0,0,0,2034,0,0,0,.29248044,,,,-.24713545,,,,0,0,0,,,,,,,.68879104,,,,,,,3,matched (3)
BISCUITS HALF CHOC 260-400GBISCUITS HALF CHOC 260-400GBISCUITS HALF CHOC 260-400G,.31070852,.16478471,.14592381,8059,1328,1218,252,112,1176,1124,301,193,5555,5080,966,575,.52763486,.52863193,.42789847,.4136667,-.34762686,-.34602857,-.31392622,-.33561531,7422,1519,880,.16410671,.16589862,.12727273,.15144166,.19815668,.21931818,.68929148,.68445164,.63594472,.65340906,.31554836,.36405531,.34659091,1,matched (3)
LAGER-4 CANS 440-500ML,.30988801,.1698107,.14007731,30269,5140,0,0,0,4240,0,0,0,20889,0,0,0,.091678411,,,,-.089481577,,,,0,0,0,,,,,,,.69011199,,,,,,,2,matched (3)
CANNED FISH-SALMON-200-215G,.30987376,.15653975,.15333399,20276,3174,0,0,0,3109,0,0,0,13993,0,0,0,.13039157,,,,-.11941011,,,,0,0,0,,,,,,,.69012624,,,,,,,1,matched (3)
RICE MICRO POUCH/TRAY 220-280G,.30878136,.15672043,.15206093,11160,1749,1257,108,73,1697,1189,269,72,7714,5854,1174,750,.52215362,.54135722,.6733799,.69875002,-.35134771,-.35001427,-.21157897,-.24805017,8300,1551,895,.15144578,.069632493,.081564248,.14325301,.17343649,.080446929,.69121861,.70530123,.75693101,.83798885,.29469877,.24306899,.16201118,1,matched (3)
FREEVIEW BOX,.30765831,.11988218,.18777615,6790,814,0,0,0,1275,0,0,0,4701,0,0,0,.18997659,,,,-.11987059,,,,0,0,0,,,,,,,.69234169,,,,,,,9,matched (3)
PK6/8 FIZZY DRINK/COLA CANS,.30644041,.17205295,.13438748,30293,5212,0,0,0,4071,0,0,0,21010,0,0,0,.21907376,,,,-.182602,,,,0,0,0,,,,,,,.69355959,,,,,,,1,matched (3)
WOMEN'S TROUSERS-CASUAL,.30567145,.13708062,.16859083,53443,7326,1627,332,185,9010,1770,326,187,37107,7053,1247,779,.33177525,.4161706,.24705358,.22142856,-.25320131,-.27928337,-.22418611,-.20850846,10450,1905,1151,.15569378,.17427821,.1607298,.169378,.17112862,.16246742,.69432855,.67492825,.65459317,.67680275,.32507178,.34540683,.32319722,3,matched (3)
WOMEN'S DRESS-WINTER FABRIC-2,.3051832,.090705991,.21447721,2238,203,0,0,0,480,0,0,0,1555,0,0,0,.33290499,,,,-.27450004,,,,0,0,0,,,,,,,.69481683,,,,,,,3,matched (3)
HOME KLLD BEEF-BRISKET NO BONE,.30504268,.16999622,.13504647,23777,4042,0,0,0,3211,0,0,0,16524,0,0,0,.083878621,,,,-.080084085,,,,0,0,0,,,,,,,.69495732,,,,,,,1,matched (3)
HIGH CHAIRHIGH CHAIRHIGH CHAIR,.30451614,.13625807,.16825807,3875,528,463,158,106,652,607,180,144,2695,2393,598,338,.20172778,.20615262,.081050761,.089379378,-.16557944,-.16414927,-.11322589,-.070600204,3463,936,588,.1336991,.16880342,.1802721,.17528155,.1923077,.24489796,.69548386,.69101936,.6388889,.57482994,.30898064,.3611111,.42517006,5,matched (3)
FRESH VEG-ORGANIC CARROTS KG,.30429268,.15775006,.14654261,9458,1492,0,0,0,1386,0,0,0,6580,0,0,0,.23882365,,,,-.16896844,,,,0,0,0,,,,,,,.69570732,,,,,,,1,matched (3)
RES1 Men's jumper (knitted),.30407524,.13793103,.16614421,957,132,0,0,0,159,0,0,0,666,0,0,0,.30686969,,,,-.23440406,,,,0,0,0,,,,,,,.69592476,,,,,,,,matched (3)
ARMCHAIR -UPHOLSTERED,.30380249,.15768304,.14611945,75582,11918,1074,216,162,11044,1049,189,121,52620,5521,890,501,.14972031,.14149515,.16930325,.19159552,-.13495503,-.1426229,-.14812326,-.1612905,7644,1295,784,.14050235,.16679537,.20663266,.13723181,.14594595,.15433674,.69619751,.72226584,.68725866,.63903064,.27773416,.31274134,.36096939,5,matched (3)
RES2 Mens jumper (knitted),.30351907,.12829912,.17521994,1364,175,0,0,0,239,0,0,0,950,0,0,0,.2971285,,,,-.21961321,,,,0,0,0,,,,,,,.69648093,,,,,,,,matched (3)
LAGER 4 BOTTLES- PREMIUM,.30350757,.15760413,.14590345,38032,5994,1079,180,110,5549,990,196,110,26489,5349,1066,650,.16951549,.22453965,.21592116,.22575164,-.13162705,-.15841366,-.19136178,-.19082803,7418,1442,870,.145457,.12482663,.12643678,.13345915,.13592233,.12643678,.69649243,.72108388,.73925102,.74712646,.27891615,.26074895,.25287357,2,matched (3)
FRZEN IMP LAMB: LEG (PER KG),.30330858,.16420236,.13910621,30164,4953,199,0,0,4196,114,0,0,21015,1742,0,0,.14238726,.1308988,,,-.12461966,-.10693439,,,2055,0,0,.096836984,,,.055474453,,,.69669139,.84768856,,,.15231144,,,1,matched (3)
SOFA BED,.3032493,.15335622,.14989309,66414,10185,840,119,75,9955,733,101,65,46274,4124,693,361,.17289583,.15774037,.13502569,.14071305,-.14665106,-.14585419,-.13711256,-.13228694,5697,913,501,.14744602,.13033953,.1497006,.12866421,.11062431,.12974052,.6967507,.72388977,.75903612,.72055888,.27611023,.24096385,.27944112,5,matched (3)
SOFA BED,.3032493,.15335622,.14989309,66414,10185,840,119,75,9955,733,101,65,46274,4124,693,361,.17289583,.15774037,.13502569,.14071305,-.14665106,-.14585419,-.13711256,-.13228694,5697,913,501,.14744602,.13033953,.1497006,.12866421,.11062431,.12974052,.6967507,.72388977,.75903612,.72055888,.27611023,.24096385,.27944112,5,matched (3)
TOOTHBRUSH,.30289996,.14691037,.1559896,33483,4919,1452,331,212,5223,1499,341,199,23341,5096,875,532,.71439928,.8923403,.84583336,.77333337,-.36982036,-.47236392,-.45690268,-.48264426,8047,1547,943,.18043992,.21396251,.22481441,.18628061,.22042663,.21102864,.69710004,.6332795,.56561089,.56415695,.36672053,.43438914,.43584305,12,matched (3)
GIRL'S LTWEIGT CASUAL JACKET,.30220374,.12409682,.17810693,5536,687,0,0,0,986,0,0,0,3863,0,0,0,.25476003,,,,-.22662558,,,,0,0,0,,,,,,,.69779623,,,,,,,3,matched (3)
ELECTRIC IRON,.30202007,.14450365,.15751642,48414,6996,1348,338,224,7626,1300,314,160,33792,4455,865,554,.2662369,.35401398,.34006462,.31153733,-.17813314,-.23050112,-.2661134,-.24685122,7103,1517,938,.18977897,.22280817,.23880596,.18302126,.20698747,.17057569,.69797993,.62719977,.57020438,.59061831,.37280023,.42979562,.40938166,,matched (3)
ELECTRIC IRON,.30202007,.14450365,.15751642,48414,6996,1348,338,224,7626,1300,314,160,33792,4455,865,554,.2662369,.35401398,.34006462,.31153733,-.17813314,-.23050112,-.2661134,-.24685122,7103,1517,938,.18977897,.22280817,.23880596,.18302126,.20698747,.17057569,.69797993,.62719977,.57020438,.59061831,.37280023,.42979562,.40938166,5,matched (3)
CHILD'S JACKET/FLEECE,.30199462,.12516809,.17682654,8924,1117,0,0,0,1578,0,0,0,6229,0,0,0,.24175149,,,,-.22365382,,,,0,0,0,,,,,,,.69800538,,,,,,,3,matched (3)
CHILD'S JACKET/FLEECE,.30199462,.12516809,.17682654,8924,1117,0,0,0,1578,0,0,0,6229,0,0,0,.24175149,,,,-.22365382,,,,0,0,0,,,,,,,.69800538,,,,,,,3,matched (3)
POTATOES- OLD WHITE PER KG,.30193827,.16168362,.14025465,35186,5689,612,220,102,4935,596,608,280,24562,3585,1197,709,.16866413,.13893385,.25460038,.2825534,-.15447637,-.146244,-.1018332,-.093832582,4793,2025,1091,.1276862,.10864197,.09349221,.12434801,.30024692,.25664529,.6980617,.74796581,.59111112,.64986253,.25203422,.40888891,.3501375,1,matched (3)
WOMENS BLOUSE/SHIRT 1,.30159384,.13429695,.1672969,77485,10406,1604,306,191,12963,1756,351,221,54116,6668,1125,659,.29517388,.36720735,.40092805,.34852353,-.23582111,-.27607316,-.23708858,-.24190141,10028,1782,1071,.15995213,.17171717,.17833801,.1751097,.1969697,.20634921,.69840616,.66493815,.63131315,.61531281,.33506185,.36868685,.38468722,3,matched (3)
DIGITAL TV RECORDER/RECEIVER,.30154049,.1179941,.18354638,12204,1440,304,0,0,2240,360,0,0,8524,2033,0,0,.13893713,.088178068,,,-.092861794,-.075855933,,,2697,0,0,.11271784,,,.13348165,,,.69845951,.75380051,,,.24619949,,,9,matched (3)
WOMEN'S CAS OUTER JKT-FLEECE,.30100155,.11417761,.18682395,22465,2565,0,0,0,4197,0,0,0,15703,0,0,0,.28796262,,,,-.23811069,,,,0,0,0,,,,,,,.69899845,,,,,,,3,matched (3)
CIGARETTES 14,.30092379,.21916859,.081755199,4330,949,0,0,0,354,0,0,0,3027,0,0,0,.015111648,,,,-.017065186,,,,0,0,0,,,,,,,.69907624,,,,,,,2,matched (3)
"RES2 Womens jeans, branded",.30050504,.13131313,.16919191,1188,156,0,0,0,201,0,0,0,831,0,0,0,.29077551,,,,-.20485669,,,,0,0,0,,,,,,,.69949496,,,,,,,,matched (3)
MP3 PLAYER,.30036297,.091197819,.20916516,2204,201,0,0,0,461,0,0,0,1542,0,0,0,.13100386,,,,-.14267489,,,,0,0,0,,,,,,,.699637,,,,,,,9,matched (3)
LUGGAGE TROLLEY CASE - 60-70CM,.299658,.14391564,.15574238,14036,2020,476,67,29,2186,571,138,80,9830,2216,443,273,.21857353,.27563861,.33416897,.32752746,-.18634273,-.20850827,-.17159824,-.1722495,3263,648,382,.14587803,.10339506,.075916231,.17499234,.21296297,.20942408,.700342,.67912966,.68364197,.71465969,.32087037,.31635803,.28534031,12,matched (3)
DISHWASHER TABLETS PACK 16-40,.29884398,.1409363,.15790768,12197,1719,1085,131,93,1926,1241,189,105,8552,4927,741,453,.5058865,.40102771,.49747023,.45214286,-.29650909,-.25146377,-.28056175,-.30635336,7253,1061,651,.14959328,.12346843,.14285715,.17110161,.17813383,.16129032,.70115602,.67930514,.69839776,.69585252,.32069489,.30160224,.30414748,5,matched (3)
FRESH VEG- LETTUCE- ROUND,.29855561,.16014585,.13840976,7131,1142,0,0,0,987,0,0,0,5002,0,0,0,.15705599,,,,-.12619661,,,,0,0,0,,,,,,,.70144439,,,,,,,1,matched (3)
DVD PLAYER - NOT PORTABLE,.29822731,.11335593,.18487139,23016,2609,0,0,0,4255,0,0,0,16152,0,0,0,.15119433,,,,-.12106229,,,,0,0,0,,,,,,,.70177269,,,,,,,9,matched (3)
FORTIFIED WINE  (70-75CL),.29714537,.16671859,.13042678,70622,11774,1281,186,108,9211,1037,234,153,49637,5152,957,573,.11979549,.15115866,.200773,.19532163,-.11222427,-.14938726,-.14387263,-.15746894,7470,1377,834,.17148595,.13507625,.1294964,.13882196,.16993465,.18345323,.70285463,.68969208,.69498909,.68705034,.31030792,.30501091,.31294963,2,matched (3)
CEREAL BAR,.29705703,.15352954,.14352748,24295,3730,1307,345,218,3487,1327,384,250,17078,4684,867,504,.64271176,.77747476,.54514712,.52000004,-.36098018,-.40226009,-.37076086,-.3588739,7318,1596,972,.17860071,.21616541,.22427984,.18133369,.24060151,.25720164,.70294297,.64006561,.5432331,.51851851,.35993439,.4567669,.48148149,1,matched (3)
RES2 Childs jumper/sweatshirt,.29705215,.138322,.15873016,882,122,0,0,0,140,0,0,0,620,0,0,0,.25048748,,,,-.29587978,,,,0,0,0,,,,,,,.70294785,,,,,,,,matched (3)
"POPCORN, BAG, 10-30G",.29685301,.16298732,.13386567,2129,347,285,163,113,285,220,142,98,1497,1157,945,536,.47942257,.51324934,.40764305,.33262098,-.32760391,-.3148506,-.2890453,-.29511496,1662,1250,747,.17148015,.1304,.15127176,.13237064,.1136,.13119143,.70314699,.69614923,.75599998,.71753681,.30385077,.244,.28246319,1,matched (3)
WOMEN'S SKIRT-CASUAL 2,.29556161,.12819241,.1673692,4033,517,0,0,0,675,0,0,0,2841,0,0,0,.30268523,,,,-.25417721,,,,0,0,0,,,,,,,.70443839,,,,,,,3,matched (3)
KIWI FRUIT-EACH,.29537058,.15377663,.14159396,76338,11739,1246,195,93,10809,1250,201,63,53790,7785,1048,518,.22583677,.27273333,.31179795,.32221007,-.19015056,-.19911419,-.19529621,-.26000005,10281,1444,674,.12119444,.13504155,.13798219,.12158351,.13919668,.09347181,.70462942,.75722206,.72576177,.76854599,.24277794,.27423823,.231454,1,matched (3)
VACUUM CLEANER-UPRIGHT,.29489863,.12395058,.17094804,35853,4444,0,0,0,6129,0,0,0,25280,0,0,0,.11856028,,,,-.09203852,,,,0,0,0,,,,,,,.70510137,,,,,,,5,matched (3)
VACUUM CLEANER-UPRIGHT,.29489863,.12395058,.17094804,35853,4444,0,0,0,6129,0,0,0,25280,0,0,0,.11856028,,,,-.09203852,,,,0,0,0,,,,,,,.70510137,,,,,,,5,matched (3)
HOME KLD BEEF-RUMP/POPES STEAK,.29467979,.16715233,.12752746,78587,13136,623,124,59,10022,542,105,59,55429,5961,833,461,.13106076,.14769903,.10337961,.097072467,-.13982533,-.1500798,-.10919206,-.10302837,7126,1062,579,.087426327,.11676083,.10189983,.076059498,.098870054,.10189983,.70532024,.83651417,.78436911,.79620034,.16348583,.21563089,.20379965,1,matched (3)
MP4 PLAYER,.2941477,.11624343,.17790426,13704,1593,280,0,0,2438,664,0,0,9673,3040,0,0,.10628007,.12778679,,,-.07318604,-.068793371,,,3984,0,0,.070281126,,,.16666667,,,.70585233,.76305223,,,.2369478,,,9,matched (3)
MP4 PLAYER,.2941477,.11624343,.17790426,13704,1593,280,0,0,2438,664,0,0,9673,3040,0,0,.10628007,.12778679,,,-.07318604,-.068793371,,,3984,0,0,.070281126,,,.16666667,,,.70585233,.76305223,,,.2369478,,,9,matched (3)
DOUBLE WARDROBE,.29354978,.15195449,.14159527,86493,13143,1131,216,149,12247,1060,156,80,61103,6384,1038,547,.16020089,.16651893,.17971537,.21089798,-.14805005,-.15768948,-.16359295,-.15221848,8575,1410,776,.13189505,.15319149,.19201031,.12361516,.1106383,.10309278,.70645022,.74448979,.73617023,.70489693,.25551021,.2638298,.2951031,5,matched (3)
DOUBLE WARDROBE,.29354978,.15195449,.14159527,86493,13143,1131,216,149,12247,1060,156,80,61103,6384,1038,547,.16020089,.16651893,.17971537,.21089798,-.14805005,-.15768948,-.16359295,-.15221848,8575,1410,776,.13189505,.15319149,.19201031,.12361516,.1106383,.10309278,.70645022,.74448979,.73617023,.70489693,.25551021,.2638298,.2951031,5,matched (3)
GAS BBQ,.29300001,.094666667,.19833334,3000,284,0,0,0,595,0,0,0,2121,0,0,0,.25799239,,,,-.21568534,,,,0,0,0,,,,,,,.70700002,,,,,,,9,matched (3)
STOUT - 4 CAN PACK,.29289174,.1539728,.13891895,21257,3273,1067,150,98,2953,865,138,35,15031,5722,1077,673,.16581105,.15183455,.079651102,.092339858,-.14899214,-.14311604,-.11523635,-.11801479,7654,1365,806,.13940424,.10989011,.12158809,.11301281,.1010989,.043424319,.70710826,.74758297,.789011,.83498758,.25241703,.21098901,.1650124,2,matched (3)
GIN-70 CL BOTTLE,.29192746,.1656235,.12630397,31155,5160,0,0,0,3935,0,0,0,22060,0,0,0,.052382972,,,,-.048614696,,,,0,0,0,,,,,,,.70807254,,,,,,,2,matched (3)
RES1 Men's jumper or sweatshir,.29070932,.13086914,.15984017,1001,131,0,0,0,160,0,0,0,710,0,0,0,.28843579,,,,-.24473241,,,,0,0,0,,,,,,,.70929068,,,,,,,,matched (3)
LAGER 'STUBBIES' 24 PK,.29044116,.13713235,.15330882,2720,373,0,0,0,417,0,0,0,1930,0,0,0,.21540923,,,,-.16462551,,,,0,0,0,,,,,,,.70955884,,,,,,,2,matched (3)
WOMEN'S CARDIGAN,.29003412,.12809071,.16194339,54235,6947,1305,287,145,8783,1450,293,207,38505,7270,1265,762,.31323352,.36234438,.3849059,.3646889,-.25324935,-.26221514,-.24913131,-.26989347,10025,1845,1114,.13017456,.15555556,.13016158,.1446384,.15880759,.18581687,.70996588,.725187,.68563688,.68402153,.27481297,.31436315,.31597847,3,matched (3)
WOMEN'S SHORTS,.28949952,.063460909,.2260386,3057,194,0,0,0,691,0,0,0,2172,0,0,0,.24639414,,,,-.25348455,,,,0,0,0,,,,,,,.71050048,,,,,,,3,matched (3)
WOMEN'S FORMAL JACKET,.28944647,.12320228,.16624418,77320,9526,1213,226,119,12854,1476,318,241,54940,6823,1297,773,.2945725,.39073581,.45135534,.41124535,-.23470517,-.27513933,-.27341881,-.24842919,9512,1841,1133,.12752312,.12275937,.10503089,.15517241,.1727322,.21270962,.71055353,.71730447,.70450842,.6822595,.28269553,.29549158,.3177405,3,matched (3)
CHEST OF DRAWERS,.28925788,.14982837,.13942949,59141,8861,1190,180,123,8246,1076,158,75,42034,6023,1039,625,.18683919,.17918999,.20277229,.19655845,-.16012132,-.1495827,-.15704741,-.14678128,8289,1377,823,.14356376,.13071896,.14945322,.12981059,.11474219,.091130011,.71074212,.72662562,.75453883,.75941676,.27337435,.24546115,.24058324,5,matched (3)
GIRL'S DRESS SUMMER FABRIC,.28924116,.071205825,.21803534,3848,274,0,0,0,839,0,0,0,2735,0,0,0,.20256484,,,,-.2190183,,,,0,0,0,,,,,,,.71075886,,,,,,,3,matched (3)
FROZEN CHICKEN PIECES,.28877127,.15257733,.13619393,17945,2738,0,0,0,2444,0,0,0,12763,0,0,0,.16443816,,,,-.13897465,,,,0,0,0,,,,,,,.71122873,,,,,,,1,matched (3)
LAGER 4 CANS- PREMIUM 4.3-7.5%,.28868073,.14565308,.14302763,16759,2441,0,0,0,2397,0,0,0,11921,0,0,0,.13457736,,,,-.084595956,,,,0,0,0,,,,,,,.71131927,,,,,,,2,matched (3)
WOMEN'S SKIRT SUMMER FABRIC-1,.28847843,.076642796,.21183565,7959,610,0,0,0,1686,0,0,0,5663,0,0,0,.19941264,,,,-.23246063,,,,0,0,0,,,,,,,.71152157,,,,,,,3,matched (3)
WOMEN'S DRESS-WINTER FABRIC-1,.28800371,.078155845,.20984787,8611,673,0,0,0,1807,0,0,0,6131,0,0,0,.27488229,,,,-.23377441,,,,0,0,0,,,,,,,.71199626,,,,,,,3,matched (3)
MP3 PLAYER - 2008,.28790915,.096192382,.19171676,1497,144,0,0,0,287,0,0,0,1066,0,0,0,.070317008,,,,-.1085731,,,,0,0,0,,,,,,,.71209085,,,,,,,9,matched (3)
CIGARETTES 10,.28776857,.23431593,.053452648,41794,9793,0,0,0,2234,0,0,0,29767,0,0,0,.020661127,,,,-.015641989,,,,0,0,0,,,,,,,.7122314,,,,,,,2,matched (3)
CIGARETTES 8,.28744727,.24638997,.0410573,64958,16005,1156,205,149,2667,112,37,13,46286,3666,642,343,.017863009,.020014683,.024690572,.025949532,-.016781343,-.030833282,-.017365919,-.010645458,4934,884,505,.23429266,.23190045,.29504952,.022699635,.041855205,.025742574,.71255273,.74300772,.72624433,.67920792,.25699228,.27375567,.32079208,2,matched (3)
CIGARETTES 5,.28630295,.22985408,.056448866,32277,7419,0,0,0,1822,0,0,0,23036,0,0,0,.025497572,,,,-.023263821,,,,0,0,0,,,,,,,.71369708,,,,,,,2,matched (3)
RES1 Boy's jeans (5-15 yrs),.2862069,.13879311,.14741379,1160,161,0,0,0,171,0,0,0,828,0,0,0,.25107783,,,,-.2210034,,,,0,0,0,,,,,,,.7137931,,,,,,,,matched (3)
VEGETABLE CRISPS PACK 80-125G,.28571427,.14857143,.13714285,175,26,0,248,82,24,0,288,212,125,0,765,455,.67785233,,.4352926,.36983934,-.32311559,,-.33108491,-.35713044,0,1301,749,,.1906226,.10947931,,.22136818,.28304407,.71428573,,.58800924,.60747665,,.41199076,.39252338,1,matched (3)
DOUBLE BED-WIDTH APPROX 135CM,.28549808,.14477699,.1407211,82596,11958,1294,264,158,11623,1138,219,109,59015,5985,984,574,.18007185,.1704843,.18935943,.20357953,-.14153099,-.14765011,-.18908942,-.20235497,8417,1467,841,.15373649,.1799591,.18787158,.13520257,.14928426,.1296076,.71450192,.71106094,.67075664,.68252081,.28893906,.32924336,.31747919,5,matched (3)
WOMEN'S SKIRT: WORK/FORMAL,.28495824,.12717578,.15778248,49695,6320,1452,291,141,7841,1638,329,215,35534,6779,1253,772,.33791664,.4344787,.43194446,.35222223,-.25794473,-.28620431,-.28376406,-.2645919,9869,1873,1128,.14712738,.15536572,.125,.16597426,.17565402,.19060284,.71504176,.68689835,.66898024,.68439716,.31310165,.33101976,.31560284,3,matched (3)
BRANDY-68-70 CL BOTTLE,.28457528,.16064376,.12393154,53933,8664,792,164,83,6684,724,169,112,38585,2880,426,238,.10871112,.24070999,.17670764,.16873223,-.098960154,-.19376832,-.16839081,-.16850574,4396,759,433,.18016379,.21607378,.19168591,.16469517,.22266139,.2586605,.71542472,.65514106,.56126481,.54965359,.34485894,.43873519,.45034641,2,matched (3)
FRESH/CHILLED CHICKEN  PER KG,.28456208,.1530887,.13147338,71292,10914,843,118,47,9373,823,114,34,51005,5071,713,440,.12353355,.05742896,.071172118,.080637835,-.12259656,-.074273013,-.10468757,-.12814179,6737,945,521,.12512988,.12486772,.090211131,.1221612,.12063492,.065259114,.71543789,.75270891,.75449735,.84452975,.24729109,.24550265,.15547025,1,matched (3)
WASING MACHINE - 2007,.28394103,.15050426,.13343677,1289,194,0,0,0,172,0,0,0,923,0,0,0,.15714164,,,,-.13503689,,,,0,0,0,,,,,,,.71605897,,,,,,,5,matched (3)
FRESH TURKEY STEAKS PER KG,.28371617,.15146691,.13224927,8794,1332,130,0,0,1163,112,0,0,6299,1362,0,0,.13589714,.089766569,,,-.10658477,-.073042177,,,1604,0,0,.081047378,,,.069825433,,,.71628386,.84912717,,,.15087281,,,1,matched (3)
GRAPEFRUIT-EACH,.28336799,.14995809,.13340992,64418,9660,934,119,61,8594,710,249,115,46164,8292,1167,556,.20432195,.21587472,.21353588,.22978634,-.17576066,-.1989428,-.1141238,-.1359314,9936,1535,732,.094001614,.077524431,.083333336,.071457326,.16221498,.15710382,.71663201,.83454108,.76026058,.75956285,.16545895,.23973942,.24043715,1,matched (3)
SELF TANNING PRODUCT,.28333336,.016666668,.26666668,240,4,0,260,154,64,0,229,142,172,0,1168,722,.50051194,,.41721627,.46067086,-.2,,-.18969403,-.20274122,0,1657,1018,,.15691008,.15127702,,.13820156,.13948919,.71666664,,.70488834,.70923382,,.29511166,.29076621,12,matched (3)
BANANAS-PER KG,.28320992,.14196901,.14124091,89273,12674,980,51,16,12609,282,296,178,63990,10366,1365,640,.15526444,.066692613,.078720592,.072590575,-.13850756,-.11161417,-.052603263,-.058347043,11628,1712,834,.084279329,.02978972,.019184653,.024251806,.17289719,.21342926,.71679008,.89146888,.79731309,.76738608,.10853113,.20268691,.23261391,1,matched (3)
MIDI HIFI (INC TWIN DECK CASS),.28288025,.1034667,.17941353,14971,1549,0,0,0,2686,0,0,0,10736,0,0,0,.094220817,,,,-.092015736,,,,0,0,0,,,,,,,.71711975,,,,,,,9,matched (3)
CIGARETTES 16,.28260869,.23244147,.050167225,1196,278,0,0,0,60,0,0,0,858,0,0,0,.035095159,,,,-.024518412,,,,0,0,0,,,,,,,.71739131,,,,,,,2,matched (3)
CHILD'S ANORAK,.28249612,.12023132,.16226481,23172,2786,0,0,0,3760,0,0,0,16626,0,0,0,.21846071,,,,-.19145794,,,,0,0,0,,,,,,,.71750391,,,,,,,3,matched (3)
DINING ROOM TABLE,.28199288,.13931198,.1426809,21075,2936,0,0,0,3007,0,0,0,15132,0,0,0,.18167917,,,,-.14309774,,,,0,0,0,,,,,,,.71800709,,,,,,,5,matched (3)
GAS COOKERS-SPECIFY MAKE & MOD,.2819891,.13260677,.14938232,35051,4648,609,135,82,5236,681,155,108,25167,2396,417,252,.10211708,.12715577,.111557,.13425305,-.092291795,-.1100123,-.083901532,-.093239777,3686,707,442,.16521975,.19094767,.18552037,.18475312,.21923621,.24434389,.7180109,.65002716,.58981615,.57013577,.34997287,.41018388,.42986426,5,matched (3)
FRESH VEG-PEPPERS -LOOSE OR KG,.28156516,.15189588,.12966928,35498,5392,1233,225,101,4603,1140,226,98,25503,9594,1541,809,.17344189,.15142667,.10985743,.10920104,-.15512477,-.13149017,-.20008776,-.29872155,11967,1992,1008,.10303334,.11295181,.10019841,.095261969,.11345381,.097222224,.71843487,.8017047,.77359438,.80257934,.19829531,.22640562,.19742063,1,matched (3)
VHS VIDEO RECORDER,.28119892,.0835324,.19766653,39769,3322,0,0,0,7861,0,0,0,28586,0,0,0,.10196497,,,,-.080120265,,,,0,0,0,,,,,,,.71880108,,,,,,,9,matched (3)
