Date,Measure,Value
2000-01-01,Nominal GDP,270734
2000-04-01,Nominal GDP,273515
2000-07-01,Nominal GDP,275409
2000-10-01,Nominal GDP,276242
2001-01-01,Nominal GDP,278908
2001-04-01,Nominal GDP,285103
2001-07-01,Nominal GDP,285857
2001-10-01,Nominal GDP,288507
2002-01-01,Nominal GDP,291400
2002-04-01,Nominal GDP,294478
2002-07-01,Nominal GDP,298755
2002-10-01,Nominal GDP,303038
2003-01-01,Nominal GDP,307070
2003-04-01,Nominal GDP,310584
2003-07-01,Nominal GDP,316568
2003-10-01,Nominal GDP,321966
2004-01-01,Nominal GDP,322897
2004-04-01,Nominal GDP,329033
2004-07-01,Nominal GDP,330791
2004-10-01,Nominal GDP,334738
2005-01-01,Nominal GDP,337926
2005-04-01,Nominal GDP,346983
2005-07-01,Nominal GDP,349720
2005-10-01,Nominal GDP,358409
2006-01-01,Nominal GDP,361619
2006-04-01,Nominal GDP,366410
2006-07-01,Nominal GDP,369568
2006-10-01,Nominal GDP,373122
2007-01-01,Nominal GDP,378624
2007-04-01,Nominal GDP,383376
2007-07-01,Nominal GDP,389461
2007-10-01,Nominal GDP,394624
2008-01-01,Nominal GDP,400688
2008-04-01,Nominal GDP,398915
2008-07-01,Nominal GDP,397188
2008-10-01,Nominal GDP,392468
2009-01-01,Nominal GDP,384441
2009-04-01,Nominal GDP,385619
2009-07-01,Nominal GDP,389776
2009-10-01,Nominal GDP,388677
2010-01-01,Nominal GDP,394878
2010-04-01,Nominal GDP,401588
2010-07-01,Nominal GDP,403451
2010-10-01,Nominal GDP,406110
2011-01-01,Nominal GDP,414242
2011-04-01,Nominal GDP,411759
2011-07-01,Nominal GDP,414864
2011-10-01,Nominal GDP,419276
2012-01-01,Nominal GDP,421447
2012-04-01,Nominal GDP,423697
2012-07-01,Nominal GDP,432624
2012-10-01,Nominal GDP,434002
2013-01-01,Nominal GDP,436035
2013-04-01,Nominal GDP,440203
2013-07-01,Nominal GDP,449241
2013-10-01,Nominal GDP,454857
2014-01-01,Nominal GDP,459591
2014-04-01,Nominal GDP,463641
2014-07-01,Nominal GDP,468959
2014-10-01,Nominal GDP,470817
2015-01-01,Nominal GDP,473838
2015-04-01,Nominal GDP,480944
2015-07-01,Nominal GDP,481713
2015-10-01,Nominal GDP,483146
2016-01-01,Nominal GDP,489770
2016-04-01,Nominal GDP,497175
2016-07-01,Nominal GDP,500613
2016-10-01,Nominal GDP,507154
2017-01-01,Nominal GDP,512085
2017-04-01,Nominal GDP,513953
2017-07-01,Nominal GDP,517482
2017-10-01,Nominal GDP,525237
2018-01-01,Nominal GDP,527869
2018-04-01,Nominal GDP,532966
2018-07-01,Nominal GDP,539287
2018-10-01,Nominal GDP,541670
2019-01-01,Nominal GDP,548802
2019-04-01,Nominal GDP,551964
2019-07-01,Nominal GDP,558286
2019-10-01,Nominal GDP,559387
2020-01-01,Nominal GDP,550426
2020-04-01,Nominal GDP,476392
2020-07-01,Nominal GDP,538867
2020-10-01,Nominal GDP,547361
1963-03-31,Broad money outstanding,13770
1963-06-30,Broad money outstanding,14104
1963-09-30,Broad money outstanding,14351
1963-12-31,Broad money outstanding,14774
1964-03-31,Broad money outstanding,15001
1964-06-30,Broad money outstanding,15326
1964-09-30,Broad money outstanding,15665
1964-12-31,Broad money outstanding,15900
1965-03-31,Broad money outstanding,16138
1965-06-30,Broad money outstanding,16502
1965-09-30,Broad money outstanding,16894
1965-12-31,Broad money outstanding,17397
1966-03-31,Broad money outstanding,17935
1966-06-30,Broad money outstanding,18091
1966-09-30,Broad money outstanding,18380
1966-12-31,Broad money outstanding,18523
1967-03-31,Broad money outstanding,18994
1967-06-30,Broad money outstanding,19565
1967-09-30,Broad money outstanding,20286
1967-12-31,Broad money outstanding,20894
1968-03-31,Broad money outstanding,21345
1968-06-30,Broad money outstanding,21911
1968-09-30,Broad money outstanding,22210
1968-12-31,Broad money outstanding,22666
1969-03-31,Broad money outstanding,23011
1969-06-30,Broad money outstanding,23007
1969-09-30,Broad money outstanding,23374
1969-12-31,Broad money outstanding,23803
1970-03-31,Broad money outstanding,24150
1970-06-30,Broad money outstanding,25024
1970-09-30,Broad money outstanding,25858
1970-12-31,Broad money outstanding,26644
1971-03-31,Broad money outstanding,27651
1971-06-30,Broad money outstanding,28484
1971-09-30,Broad money outstanding,29521
1971-12-31,Broad money outstanding,30983
1972-03-31,Broad money outstanding,33006
1972-06-30,Broad money outstanding,34991
1972-09-30,Broad money outstanding,36400
1972-12-31,Broad money outstanding,38183
1973-03-31,Broad money outstanding,40081
1973-06-30,Broad money outstanding,42139
1973-09-30,Broad money outstanding,44637
1973-12-31,Broad money outstanding,46566
1974-03-31,Broad money outstanding,47867
1974-06-30,Broad money outstanding,48717
1974-09-30,Broad money outstanding,49573
1974-12-31,Broad money outstanding,51654
1975-03-31,Broad money outstanding,53328
1975-06-30,Broad money outstanding,54975
1975-09-30,Broad money outstanding,56896
1975-12-31,Broad money outstanding,57846
1976-03-31,Broad money outstanding,59604
1976-06-30,Broad money outstanding,61471
1976-09-30,Broad money outstanding,63703
1976-12-31,Broad money outstanding,64444
1977-03-31,Broad money outstanding,65652
1977-06-30,Broad money outstanding,68147
1977-09-30,Broad money outstanding,70633
1977-12-31,Broad money outstanding,74031
1978-03-31,Broad money outstanding,77971
1978-06-30,Broad money outstanding,79911
1978-09-30,Broad money outstanding,82283
1978-12-31,Broad money outstanding,85174
1979-03-31,Broad money outstanding,87922
1979-06-30,Broad money outstanding,91073
1979-09-30,Broad money outstanding,94300
1979-12-31,Broad money outstanding,97506
1980-03-31,Broad money outstanding,100201
1980-06-30,Broad money outstanding,104853
1980-09-30,Broad money outstanding,109076
1980-12-31,Broad money outstanding,114324
1981-03-31,Broad money outstanding,117566
1981-06-30,Broad money outstanding,122606
1981-09-30,Broad money outstanding,127122
1981-12-31,Broad money outstanding,137846
1982-03-31,Broad money outstanding,141382
1982-06-30,Broad money outstanding,145345
1982-09-30,Broad money outstanding,149702
1982-12-31,Broad money outstanding,153888
1983-03-31,Broad money outstanding,161316
1983-06-30,Broad money outstanding,165963
1983-09-30,Broad money outstanding,169490
1983-12-31,Broad money outstanding,174297
1984-03-31,Broad money outstanding,179915
1984-06-30,Broad money outstanding,186635
1984-09-30,Broad money outstanding,191698
1984-12-31,Broad money outstanding,198087
1985-03-31,Broad money outstanding,205114
1985-06-30,Broad money outstanding,211074
1985-09-30,Broad money outstanding,217669
1985-12-31,Broad money outstanding,224168
1986-03-31,Broad money outstanding,235352
1986-06-30,Broad money outstanding,244481
1986-09-30,Broad money outstanding,249525
1986-12-31,Broad money outstanding,257860
1987-03-31,Broad money outstanding,271128
1987-06-30,Broad money outstanding,281368
1987-09-30,Broad money outstanding,292191
1987-12-31,Broad money outstanding,304422
1988-03-31,Broad money outstanding,317219
1988-06-30,Broad money outstanding,328842
1988-09-30,Broad money outstanding,345966
1988-12-31,Broad money outstanding,357545
1989-03-31,Broad money outstanding,372047
1989-06-30,Broad money outstanding,389649
1989-09-30,Broad money outstanding,407327
1989-12-31,Broad money outstanding,425778
1990-03-31,Broad money outstanding,441429
1990-06-30,Broad money outstanding,457318
1990-09-30,Broad money outstanding,466729
1990-12-31,Broad money outstanding,477181
1991-03-31,Broad money outstanding,484127
1991-06-30,Broad money outstanding,492849
1991-09-30,Broad money outstanding,498392
1991-12-31,Broad money outstanding,504718
1992-03-31,Broad money outstanding,508859
1992-06-30,Broad money outstanding,514667
1992-09-30,Broad money outstanding,519993
1992-12-31,Broad money outstanding,518019
1993-03-31,Broad money outstanding,521831
1993-06-30,Broad money outstanding,526404
1993-09-30,Broad money outstanding,532814
1993-12-31,Broad money outstanding,543381
1994-03-31,Broad money outstanding,551702
1994-06-30,Broad money outstanding,554828
1994-09-30,Broad money outstanding,560012
1994-12-31,Broad money outstanding,566571
1995-03-31,Broad money outstanding,578952
1995-06-30,Broad money outstanding,591008
1995-09-30,Broad money outstanding,606045
1995-12-31,Broad money outstanding,622465
1996-03-31,Broad money outstanding,634994
1996-06-30,Broad money outstanding,649565
1996-09-30,Broad money outstanding,667868
1996-12-31,Broad money outstanding,681523
1997-03-31,Broad money outstanding,708703
1997-06-30,Broad money outstanding,724597
1997-09-30,Broad money outstanding,707472
1997-12-31,Broad money outstanding,719833
1998-03-31,Broad money outstanding,739622
1998-06-30,Broad money outstanding,752469
1998-09-30,Broad money outstanding,771994
1998-12-31,Broad money outstanding,781056
1999-03-31,Broad money outstanding,789372
1999-06-30,Broad money outstanding,796170
1999-09-30,Broad money outstanding,795987
1999-12-31,Broad money outstanding,813147
2000-03-31,Broad money outstanding,831072
2000-06-30,Broad money outstanding,850122
2000-09-30,Broad money outstanding,867503
2000-12-31,Broad money outstanding,881482
2001-03-31,Broad money outstanding,900195
2001-06-30,Broad money outstanding,915216
2001-09-30,Broad money outstanding,937939
2001-12-31,Broad money outstanding,940116
2002-03-31,Broad money outstanding,949220
2002-06-30,Broad money outstanding,969483
2002-09-30,Broad money outstanding,991420
2002-12-31,Broad money outstanding,1005968
2003-03-31,Broad money outstanding,1017456
2003-06-30,Broad money outstanding,1043339
2003-09-30,Broad money outstanding,1053129
2003-12-31,Broad money outstanding,1077630
2004-03-31,Broad money outstanding,1099074
2004-06-30,Broad money outstanding,1127928
2004-09-30,Broad money outstanding,1149382
2004-12-31,Broad money outstanding,1173537
2005-03-31,Broad money outstanding,1212721
2005-06-30,Broad money outstanding,1243562
2005-09-30,Broad money outstanding,1277317
2005-12-31,Broad money outstanding,1322237
2006-03-31,Broad money outstanding,1361049
2006-06-30,Broad money outstanding,1411655
2006-09-30,Broad money outstanding,1460799
2006-12-31,Broad money outstanding,1492635
2007-03-31,Broad money outstanding,1537600
2007-06-30,Broad money outstanding,1591085
2007-09-30,Broad money outstanding,1647610
2007-12-31,Broad money outstanding,1669789
2008-03-31,Broad money outstanding,1712670
2008-06-30,Broad money outstanding,1759932
2008-09-30,Broad money outstanding,1826057
2008-12-31,Broad money outstanding,1934084
2009-03-31,Broad money outstanding,2005021
2009-06-30,Broad money outstanding,1979478
2009-09-30,Broad money outstanding,2010899
2009-12-31,Broad money outstanding,2043231
2010-03-31,Broad money outstanding,2225363
2010-06-30,Broad money outstanding,2207357
2010-09-30,Broad money outstanding,2183140
2010-12-31,Broad money outstanding,2155018
2011-03-31,Broad money outstanding,2168231
2011-06-30,Broad money outstanding,2161556
2011-09-30,Broad money outstanding,2132325
2011-12-31,Broad money outstanding,2086730
2012-03-31,Broad money outstanding,2072454
2012-06-30,Broad money outstanding,2069755
2012-09-30,Broad money outstanding,2079886
2012-12-31,Broad money outstanding,2090169
2013-03-31,Broad money outstanding,2096186
2013-06-30,Broad money outstanding,2097738
2013-09-30,Broad money outstanding,2144123
2013-12-31,Broad money outstanding,2105122
2014-03-31,Broad money outstanding,2115673
2014-06-30,Broad money outstanding,2111455
2014-09-30,Broad money outstanding,2111650
2014-12-31,Broad money outstanding,2103580
2015-03-31,Broad money outstanding,2111186
2015-06-30,Broad money outstanding,2110796
2015-09-30,Broad money outstanding,2099295
2015-12-31,Broad money outstanding,2115329
2016-03-31,Broad money outstanding,2135523
2016-06-30,Broad money outstanding,2187653
2016-09-30,Broad money outstanding,2228563
2016-12-31,Broad money outstanding,2246999
2017-03-31,Broad money outstanding,2293274
2017-06-30,Broad money outstanding,2311205
2017-09-30,Broad money outstanding,2355607
2017-12-31,Broad money outstanding,2356065
2018-03-31,Broad money outstanding,2360947
2018-06-30,Broad money outstanding,2371644
2018-09-30,Broad money outstanding,2383058
2018-12-31,Broad money outstanding,2413774
2019-03-31,Broad money outstanding,2419918
2019-06-30,Broad money outstanding,2426252
2019-09-30,Broad money outstanding,2475443
2019-12-31,Broad money outstanding,2506018
2020-03-31,Broad money outstanding,2622438
2020-06-30,Broad money outstanding,2746894
2020-09-30,Broad money outstanding,2783950
2020-12-31,Broad money outstanding,2817018
