WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Units,Scale,Value
612,DZA,GGR_NGDP,Algeria,General government revenue,Percent of GDP,,30.128
612,DZA,GGX,Algeria,General government total expenditure,National currency,Billions,"6,902.89"
612,DZA,GGX_NGDP,Algeria,General government total expenditure,Percent of GDP,,36.868
612,DZA,GGXCNL,Algeria,General government net lending/borrowing,National currency,Billions,"-1,261.95"
612,DZA,GGXCNL_NGDP,Algeria,General government net lending/borrowing,Percent of GDP,,-6.74
612,DZA,GGSB,Algeria,General government structural balance,National currency,Billions,
612,DZA,GGSB_NPGDP,Algeria,General government structural balance,Percent of potential GDP,,
612,DZA,GGXONLB,Algeria,General government primary net lending/borrowing,National currency,Billions,"-1,206.03"
612,DZA,GGXONLB_NGDP,Algeria,General government primary net lending/borrowing,Percent of GDP,,-6.441
612,DZA,GGXWDN,Algeria,General government net debt,National currency,Billions,"8,098.51"
612,DZA,GGXWDN_NGDP,Algeria,General government net debt,Percent of GDP,,43.253
612,DZA,GGXWDG,Algeria,General government gross debt,National currency,Billions,"9,609.71"
612,DZA,GGXWDG_NGDP,Algeria,General government gross debt,Percent of GDP,,51.324
612,DZA,NGDP_FY,Algeria,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"18,723.50"
612,DZA,BCA,Algeria,Current account balance,U.S. dollars,Billions,-18.711
612,DZA,BCA_NGDPD,Algeria,Current account balance,Percent of GDP,,-12.677
171,AND,NGDP_R,Andorra,"Gross domestic product, constant prices",National currency,Billions,2.375
171,AND,NGDP_RPCH,Andorra,"Gross domestic product, constant prices",Percent change,,-11.184
171,AND,NGDP,Andorra,"Gross domestic product, current prices",National currency,Billions,2.531
171,AND,NGDPD,Andorra,"Gross domestic product, current prices",U.S. dollars,Billions,2.885
171,AND,PPPGDP,Andorra,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,4.092
171,AND,NGDP_D,Andorra,"Gross domestic product, deflator",Index,,106.557
171,AND,NGDPRPC,Andorra,"Gross domestic product per capita, constant prices",National currency,Units,"30,447.35"
171,AND,NGDPRPPPPC,Andorra,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"49,728.24"
171,AND,NGDPPC,Andorra,"Gross domestic product per capita, current prices",National currency,Units,"32,443.63"
171,AND,NGDPDPC,Andorra,"Gross domestic product per capita, current prices",U.S. dollars,Units,"36,973.85"
171,AND,PPPPC,Andorra,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"52,451.57"
171,AND,NGAP_NPGDP,Andorra,Output gap in percent of potential GDP,Percent of potential GDP,,
171,AND,PPPSH,Andorra,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.003
171,AND,PPPEX,Andorra,Implied PPP conversion rate,National currency per current international dollar,,0.619
171,AND,NID_NGDP,Andorra,Total investment,Percent of GDP,,
171,AND,NGSD_NGDP,Andorra,Gross national savings,Percent of GDP,,
171,AND,PCPI,Andorra,"Inflation, average consumer prices",Index,,102.298
171,AND,PCPIPCH,Andorra,"Inflation, average consumer prices",Percent change,,0.257
171,AND,PCPIE,Andorra,"Inflation, end of period consumer prices",Index,,102.385
171,AND,PCPIEPCH,Andorra,"Inflation, end of period consumer prices",Percent change,,-0.202
171,AND,TM_RPCH,Andorra,Volume of imports of goods and services,Percent change,,
171,AND,TMG_RPCH,Andorra,Volume of Imports of goods,Percent change,,
171,AND,TX_RPCH,Andorra,Volume of exports of goods and services,Percent change,,
171,AND,TXG_RPCH,Andorra,Volume of exports of goods,Percent change,,
171,AND,LUR,Andorra,Unemployment rate,Percent of total labor force,,2.85
171,AND,LE,Andorra,Employment,Persons,Millions,0.045
171,AND,LP,Andorra,Population,Persons,Millions,0.078
171,AND,GGR,Andorra,General government revenue,National currency,Billions,1.022
171,AND,GGR_NGDP,Andorra,General government revenue,Percent of GDP,,40.371
171,AND,GGX,Andorra,General government total expenditure,National currency,Billions,1.093
171,AND,GGX_NGDP,Andorra,General government total expenditure,Percent of GDP,,43.189
171,AND,GGXCNL,Andorra,General government net lending/borrowing,National currency,Billions,-0.071
171,AND,GGXCNL_NGDP,Andorra,General government net lending/borrowing,Percent of GDP,,-2.818
171,AND,GGSB,Andorra,General government structural balance,National currency,Billions,
171,AND,GGSB_NPGDP,Andorra,General government structural balance,Percent of potential GDP,,
171,AND,GGXONLB,Andorra,General government primary net lending/borrowing,National currency,Billions,
171,AND,GGXONLB_NGDP,Andorra,General government primary net lending/borrowing,Percent of GDP,,
171,AND,GGXWDN,Andorra,General government net debt,National currency,Billions,
171,AND,GGXWDN_NGDP,Andorra,General government net debt,Percent of GDP,,
171,AND,GGXWDG,Andorra,General government gross debt,National currency,Billions,1.173
171,AND,GGXWDG_NGDP,Andorra,General government gross debt,Percent of GDP,,46.329
171,AND,NGDP_FY,Andorra,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,2.531
171,AND,BCA,Andorra,Current account balance,U.S. dollars,Billions,0.422
171,AND,BCA_NGDPD,Andorra,Current account balance,Percent of GDP,,14.634
614,AGO,NGDP_R,Angola,"Gross domestic product, constant prices",National currency,Billions,"1,458.13"
614,AGO,NGDP_RPCH,Angola,"Gross domestic product, constant prices",Percent change,,-5.554
614,AGO,NGDP,Angola,"Gross domestic product, current prices",National currency,Billions,"33,685.67"
614,AGO,NGDPD,Angola,"Gross domestic product, current prices",U.S. dollars,Billions,58.254
614,AGO,PPPGDP,Angola,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,211.134
614,AGO,NGDP_D,Angola,"Gross domestic product, deflator",Index,,"2,310.20"
614,AGO,NGDPRPC,Angola,"Gross domestic product per capita, constant prices",National currency,Units,"46,988.90"
614,AGO,NGDPRPPPPC,Angola,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"6,450.63"
614,AGO,NGDPPC,Angola,"Gross domestic product per capita, current prices",National currency,Units,"1,085,537.16"
614,AGO,NGDPDPC,Angola,"Gross domestic product per capita, current prices",U.S. dollars,Units,"1,877.25"
614,AGO,PPPPC,Angola,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"6,803.89"
614,AGO,NGAP_NPGDP,Angola,Output gap in percent of potential GDP,Percent of potential GDP,,
614,AGO,PPPSH,Angola,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.159
614,AGO,PPPEX,Angola,Implied PPP conversion rate,National currency per current international dollar,,159.547
614,AGO,NID_NGDP,Angola,Total investment,Percent of GDP,,24.776
614,AGO,NGSD_NGDP,Angola,Gross national savings,Percent of GDP,,26.272
614,AGO,PCPI,Angola,"Inflation, average consumer prices",Index,,431.227
614,AGO,PCPIPCH,Angola,"Inflation, average consumer prices",Percent change,,22.277
614,AGO,PCPIE,Angola,"Inflation, end of period consumer prices",Index,,477.015
614,AGO,PCPIEPCH,Angola,"Inflation, end of period consumer prices",Percent change,,25.103
614,AGO,TM_RPCH,Angola,Volume of imports of goods and services,Percent change,,-33.2
614,AGO,TMG_RPCH,Angola,Volume of Imports of goods,Percent change,,-33.561
614,AGO,TX_RPCH,Angola,Volume of exports of goods and services,Percent change,,-7.335
614,AGO,TXG_RPCH,Angola,Volume of exports of goods,Percent change,,-6.421
614,AGO,LUR,Angola,Unemployment rate,Percent of total labor force,,
614,AGO,LE,Angola,Employment,Persons,Millions,
614,AGO,LP,Angola,Population,Persons,Millions,31.031
614,AGO,GGR,Angola,General government revenue,National currency,Billions,"7,052.76"
614,AGO,GGR_NGDP,Angola,General government revenue,Percent of GDP,,20.937
614,AGO,GGX,Angola,General government total expenditure,National currency,Billions,"7,690.86"
614,AGO,GGX_NGDP,Angola,General government total expenditure,Percent of GDP,,22.831
614,AGO,GGXCNL,Angola,General government net lending/borrowing,National currency,Billions,-638.098
614,AGO,GGXCNL_NGDP,Angola,General government net lending/borrowing,Percent of GDP,,-1.894
614,AGO,GGSB,Angola,General government structural balance,National currency,Billions,324.156
614,AGO,GGSB_NPGDP,Angola,General government structural balance,Percent of potential GDP,,0.802
614,AGO,GGXONLB,Angola,General government primary net lending/borrowing,National currency,Billions,"1,661.67"
614,AGO,GGXONLB_NGDP,Angola,General government primary net lending/borrowing,Percent of GDP,,4.933
614,AGO,GGXWDN,Angola,General government net debt,National currency,Billions,
614,AGO,GGXWDN_NGDP,Angola,General government net debt,Percent of GDP,,
614,AGO,GGXWDG,Angola,General government gross debt,National currency,Billions,"46,090.59"
614,AGO,GGXWDG_NGDP,Angola,General government gross debt,Percent of GDP,,136.826
614,AGO,NGDP_FY,Angola,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"33,685.67"
614,AGO,BCA,Angola,Current account balance,U.S. dollars,Billions,0.872
614,AGO,BCA_NGDPD,Angola,Current account balance,Percent of GDP,,1.497
311,ATG,NGDP_R,Antigua and Barbuda,"Gross domestic product, constant prices",National currency,Billions,2.929
311,ATG,NGDP_RPCH,Antigua and Barbuda,"Gross domestic product, constant prices",Percent change,,-20.192
311,ATG,NGDP,Antigua and Barbuda,"Gross domestic product, current prices",National currency,Billions,3.7
311,ATG,NGDPD,Antigua and Barbuda,"Gross domestic product, current prices",U.S. dollars,Billions,1.37
311,ATG,PPPGDP,Antigua and Barbuda,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,1.786
311,ATG,NGDP_D,Antigua and Barbuda,"Gross domestic product, deflator",Index,,126.318
311,ATG,NGDPRPC,Antigua and Barbuda,"Gross domestic product per capita, constant prices",National currency,Units,"29,919.20"
311,ATG,NGDPRPPPPC,Antigua and Barbuda,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"17,299.23"
311,ATG,NGDPPC,Antigua and Barbuda,"Gross domestic product per capita, current prices",National currency,Units,"37,793.35"
311,ATG,NGDPDPC,Antigua and Barbuda,"Gross domestic product per capita, current prices",U.S. dollars,Units,"13,997.54"
311,ATG,PPPPC,Antigua and Barbuda,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"18,246.61"
311,ATG,NGAP_NPGDP,Antigua and Barbuda,Output gap in percent of potential GDP,Percent of potential GDP,,
311,ATG,PPPSH,Antigua and Barbuda,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.001
311,ATG,PPPEX,Antigua and Barbuda,Implied PPP conversion rate,National currency per current international dollar,,2.071
311,ATG,NID_NGDP,Antigua and Barbuda,Total investment,Percent of GDP,,31.284
311,ATG,NGSD_NGDP,Antigua and Barbuda,Gross national savings,Percent of GDP,,12.93
311,ATG,PCPI,Antigua and Barbuda,"Inflation, average consumer prices",Index,,102.109
311,ATG,PCPIPCH,Antigua and Barbuda,"Inflation, average consumer prices",Percent change,,1.058
311,ATG,PCPIE,Antigua and Barbuda,"Inflation, end of period consumer prices",Index,,103.61
311,ATG,PCPIEPCH,Antigua and Barbuda,"Inflation, end of period consumer prices",Percent change,,2.778
311,ATG,TM_RPCH,Antigua and Barbuda,Volume of imports of goods and services,Percent change,,-35.668
311,ATG,TMG_RPCH,Antigua and Barbuda,Volume of Imports of goods,Percent change,,-28.343
311,ATG,TX_RPCH,Antigua and Barbuda,Volume of exports of goods and services,Percent change,,-50.457
311,ATG,TXG_RPCH,Antigua and Barbuda,Volume of exports of goods,Percent change,,-30.247
311,ATG,LUR,Antigua and Barbuda,Unemployment rate,Percent of total labor force,,
311,ATG,LE,Antigua and Barbuda,Employment,Persons,Millions,
311,ATG,LP,Antigua and Barbuda,Population,Persons,Millions,0.098
311,ATG,GGR,Antigua and Barbuda,General government revenue,National currency,Billions,0.755
311,ATG,GGR_NGDP,Antigua and Barbuda,General government revenue,Percent of GDP,,20.399
311,ATG,GGX,Antigua and Barbuda,General government total expenditure,National currency,Billions,0.99
311,ATG,GGX_NGDP,Antigua and Barbuda,General government total expenditure,Percent of GDP,,26.761
311,ATG,GGXCNL,Antigua and Barbuda,General government net lending/borrowing,National currency,Billions,-0.235
311,ATG,GGXCNL_NGDP,Antigua and Barbuda,General government net lending/borrowing,Percent of GDP,,-6.362
311,ATG,GGSB,Antigua and Barbuda,General government structural balance,National currency,Billions,
311,ATG,GGSB_NPGDP,Antigua and Barbuda,General government structural balance,Percent of potential GDP,,
311,ATG,GGXONLB,Antigua and Barbuda,General government primary net lending/borrowing,National currency,Billions,-0.14
311,ATG,GGXONLB_NGDP,Antigua and Barbuda,General government primary net lending/borrowing,Percent of GDP,,-3.797
311,ATG,GGXWDN,Antigua and Barbuda,General government net debt,National currency,Billions,
311,ATG,GGXWDN_NGDP,Antigua and Barbuda,General government net debt,Percent of GDP,,
311,ATG,GGXWDG,Antigua and Barbuda,General government gross debt,National currency,Billions,3.754
311,ATG,GGXWDG_NGDP,Antigua and Barbuda,General government gross debt,Percent of GDP,,101.477
311,ATG,NGDP_FY,Antigua and Barbuda,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,3.7
311,ATG,BCA,Antigua and Barbuda,Current account balance,U.S. dollars,Billions,-0.252
311,ATG,BCA_NGDPD,Antigua and Barbuda,Current account balance,Percent of GDP,,-18.355
213,ARG,NGDP_R,Argentina,"Gross domestic product, constant prices",National currency,Billions,624.468
213,ARG,NGDP_RPCH,Argentina,"Gross domestic product, constant prices",Percent change,,-9.895
213,ARG,NGDP,Argentina,"Gross domestic product, current prices",National currency,Billions,"27,481.44"
213,ARG,NGDPD,Argentina,"Gross domestic product, current prices",U.S. dollars,Billions,389.064
213,ARG,PPPGDP,Argentina,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,942.43
213,ARG,NGDP_D,Argentina,"Gross domestic product, deflator",Index,,"4,400.78"
213,ARG,NGDPRPC,Argentina,"Gross domestic product per capita, constant prices",National currency,Units,"13,758.40"
213,ARG,NGDPRPPPPC,Argentina,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"19,685.74"
213,ARG,NGDPPC,Argentina,"Gross domestic product per capita, current prices",National currency,Units,"605,476.78"
213,ARG,NGDPDPC,Argentina,"Gross domestic product per capita, current prices",U.S. dollars,Units,"8,571.94"
213,ARG,PPPPC,Argentina,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"20,763.82"
213,ARG,NGAP_NPGDP,Argentina,Output gap in percent of potential GDP,Percent of potential GDP,,
213,ARG,PPPSH,Argentina,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.711
213,ARG,PPPEX,Argentina,Implied PPP conversion rate,National currency per current international dollar,,29.16
213,ARG,NID_NGDP,Argentina,Total investment,Percent of GDP,,17.913
213,ARG,NGSD_NGDP,Argentina,Gross national savings,Percent of GDP,,18.765
213,ARG,PCPI,Argentina,"Inflation, average consumer prices",Index,,619.207
213,ARG,PCPIPCH,Argentina,"Inflation, average consumer prices",Percent change,,42.015
213,ARG,PCPIE,Argentina,"Inflation, end of period consumer prices",Index,,722.878
213,ARG,PCPIEPCH,Argentina,"Inflation, end of period consumer prices",Percent change,,36.141
213,ARG,TM_RPCH,Argentina,Volume of imports of goods and services,Percent change,,-10.722
213,ARG,TMG_RPCH,Argentina,Volume of Imports of goods,Percent change,,-10.588
213,ARG,TX_RPCH,Argentina,Volume of exports of goods and services,Percent change,,-13.124
213,ARG,TXG_RPCH,Argentina,Volume of exports of goods,Percent change,,-13.167
213,ARG,LUR,Argentina,Unemployment rate,Percent of total labor force,,11.55
213,ARG,LE,Argentina,Employment,Persons,Millions,
213,ARG,LP,Argentina,Population,Persons,Millions,45.388
213,ARG,GGR,Argentina,General government revenue,National currency,Billions,"9,197.04"
213,ARG,GGR_NGDP,Argentina,General government revenue,Percent of GDP,,33.466
213,ARG,GGX,Argentina,General government total expenditure,National currency,Billions,"11,567.47"
213,ARG,GGX_NGDP,Argentina,General government total expenditure,Percent of GDP,,42.092
213,ARG,GGXCNL,Argentina,General government net lending/borrowing,National currency,Billions,"-2,370.42"
213,ARG,GGXCNL_NGDP,Argentina,General government net lending/borrowing,Percent of GDP,,-8.626
213,ARG,GGSB,Argentina,General government structural balance,National currency,Billions,"-1,694.54"
213,ARG,GGSB_NPGDP,Argentina,General government structural balance,Percent of potential GDP,,-5.727
213,ARG,GGXONLB,Argentina,General government primary net lending/borrowing,National currency,Billions,"-1,708.18"
213,ARG,GGXONLB_NGDP,Argentina,General government primary net lending/borrowing,Percent of GDP,,-6.216
213,ARG,GGXWDN,Argentina,General government net debt,National currency,Billions,
213,ARG,GGXWDN_NGDP,Argentina,General government net debt,Percent of GDP,,
213,ARG,GGXWDG,Argentina,General government gross debt,National currency,Billions,"28,248.09"
213,ARG,GGXWDG_NGDP,Argentina,General government gross debt,Percent of GDP,,102.79
213,ARG,NGDP_FY,Argentina,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"27,481.44"
213,ARG,BCA,Argentina,Current account balance,U.S. dollars,Billions,3.313
213,ARG,BCA_NGDPD,Argentina,Current account balance,Percent of GDP,,0.852
911,ARM,NGDP_R,Armenia,"Gross domestic product, constant prices",National currency,Billions,"3,799.37"
911,ARM,NGDP_RPCH,Armenia,"Gross domestic product, constant prices",Percent change,,-7.395
911,ARM,NGDP,Armenia,"Gross domestic product, current prices",National currency,Billions,"6,181.66"
911,ARM,NGDPD,Armenia,"Gross domestic product, current prices",U.S. dollars,Billions,12.641
911,ARM,PPPGDP,Armenia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,39.466
911,ARM,NGDP_D,Armenia,"Gross domestic product, deflator",Index,,162.702
911,ARM,NGDPRPC,Armenia,"Gross domestic product per capita, constant prices",National currency,Units,"1,282,611.02"
