Title,CDID,CPIH division weights
CPI 12mth: Excluding tobacco (SP) 2015=100,DKL7,
"CPI 12mth: Food, alcoholic beverages & tobacco (G) 2015=100",DKK8,
CPI 12mth: Household goods (G) 2015=100,DKM2,
CPI 12mth: Housing goods (G) 2015=100,DKL9,
CPI 12mth: Housing services (S) 2015=100,DKN2,
CPI 12mth: Industrial goods (G) 2015=100,DKL4,
"CPI 12mth: Liquid fuels, vehicle fuels & lubricants (G) 2015=100",DKO6,
"CPI 12mth: Medical products, appliances & equipment (G) 2015=100",DKM4,
CPI 12mth: Medical services (S) 2015=100,DKO5,
CPI 12mth: Miscellaneous & other services (S) 2015=100,DKO4,
CPI 12mth: Miscellaneous goods (G) 2015=100,DKM9,
CPI 12mth: Miscellaneous services (S) 2015=100,DKO3,
CPI 12mth: Non-catering recreational & personal services (S) 2015=100,DKO2,
CPI 12mth: Non-durables (G) 2015=100,DKK6,
CPI 12mth: Non-energy industrial goods (G) 2015=100,DKK3,
CPI 12mth: Non-seasonal food (G) 2015=100,DKK7,
CPI 12mth: Other housing services (S) 2015=100,DKN4,
CPI 12mth: Other recreational & personal services (S) 2015=100,DKN9,
CPI 12mth: Other recreational goods (G) 2015=100,DKM8,
CPI 12mth: Package holidays & accommodation (S) 2015=100,DKN8,
CPI 12mth: Primary housing services (S) 2015=100,DKN3,
CPI 12mth: Processed food & non-alcoholic beverages (G) 2015=100,DKK9,
CPI 12mth: Recreational & personal services (S) 2015=100,DKN7,
CPI 12mth: Recreational goods (G) 2015=100,DKM6,
CPI 12mth: Seasonal food (G) 2015=100,DKL3,
CPI 12mth: Semi-durables (G) 2015=100,DKK5,
CPI 12mth: Services for personal transport equipment (S) 2015=100,DKN6,
CPI 12mth: Travel & transport services (S) 2015=100,DKN5,
CPI 12mth: Unprocessed food (G) 2015=100,DKL2,
"CPI 12mth: Vehicles, spare parts & accessories (G) 2015=100",DKM5,
CPI 12mth: Water supply; materials for maintenance/repair (G) 2015=100,DKM3,
CPI 1mth: Audio-visual goods (G) 2015=100,DKG6,
CPI 1mth: Clothing & footwear goods (G) 2015=100,DKF7,
CPI 1mth: Durables (G) 2015=100,DKE3,
"CPI 1mth: Education, health and social protection (SP) 2015=100",DKK2,
"CPI 1mth: Electricity, gas & misc. energy (G) 2015=100",DKF5,
CPI 1mth: Energy (G) 2015=100,DKF4,
CPI 1mth: Energy and seasonal food (SP) 2015=100,DKJ9,
CPI 1mth: Energy and unprocessed food (SP) 2015=100,DKJ8,
"CPI 1mth: Energy, food, alcohol and tobacco (SP) 2015=100",DKJ7,
"CPI 1mth: Excl education, health & social protection (SP) 2015=100",DKJ6,
"CPI 1mth: Excl housing, water, elec., gas & other fuels (SP) 2015=100",DKJ5,
"CPI 1mth: Excl liquid fuels, vehicle fuels & lubricants (SP) 2015=100",DKJ4,
CPI 1mth: Excluding alcohol & tobacco (SP) 2015=100,DKJ3,
CPI 1mth: Excluding energy & seasonal food (SP) 2015=100,DKJ2,
CPI 1mth: Excluding energy & unprocessed food (SP) 2015=100,DKI8,
CPI 1mth: Excluding energy (SP) 2015=100,DKI6,
"CPI 1mth: Excluding energy, food, alcohol & tobacco (SP) 2015=100",DKI7,
CPI 1mth: Excluding seasonal food (SP) 2015=100,DKI9,
CPI 1mth: Excluding tobacco (SP) 2015=100,DKF6,
"CPI 1mth: Food, alcoholic beverages & tobacco (G) 2015=100",DKE7,
CPI 1mth: Household goods (G) 2015=100,DKF9,
CPI 1mth: Housing goods (G) 2015=100,DKF8,
CPI 1mth: Housing services (S) 2015=100,DKG9,
CPI 1mth: Industrial goods (G) 2015=100,DKF3,
"CPI 1mth: Liquid fuels, vehicle fuels & lubricants (G) 2015=100",DKI5,
"CPI 1mth: Medical products, appliances & equipment (G) 2015=100",DKG3,
CPI 1mth: Medical services (S) 2015=100,DKI4,
CPI 1mth: Miscellaneous & other services (S) 2015=100,DKI3,
CPI 1mth: Miscellaneous goods (G) 2015=100,DKG8,
CPI 1mth: Miscellaneous services (S) 2015=100,DKI2,
CPI 1mth: Non-catering recreational & personal services (S) 2015=100,DKH9,
CPI 1mth: Non-durables (G) 2015=100,DKE5,
CPI 1mth: Non-energy industrial goods (G) 2015=100,DKE2,
CPI 1mth: Non-seasonal food (G) 2015=100,DKE6,
CPI 1mth: Other housing services (S) 2015=100,DKH3,
CPI 1mth: Other recreational & personal services (S) 2015=100,DKH8,
CPI 1mth: Other recreational goods (G) 2015=100,DKG7,
CPI 1mth: Package holidays & accommodation (S) 2015=100,DKH7,
CPI 1mth: Primary housing services (S) 2015=100,DKH2,
CPI 1mth: Processed food & non-alcoholic beverages (G) 2015=100,DKE8,
CPI 1mth: Recreational & personal services (S) 2015=100,DKH6,
CPI 1mth: Recreational goods (G) 2015=100,DKG5,
CPI 1mth: Seasonal food (G) 2015=100,DKF2,
CPI 1mth: Semi-durables (G) 2015=100,DKE4,
CPI 1mth: Services for personal transport equipment (S) 2015=100,DKH5,
CPI 1mth: Travel & transport services (S) 2015=100,DKH4,
CPI 1mth: Unprocessed food (G) 2015=100,DKE9,
"CPI 1mth: Vehicles, spare parts & accessories (G) 2015=100",DKG4,
CPI 1mth: Water supply; materials for maintenance/repair (G) 2015=100,DKG2,
"CPI ANN RATE 01.1.8:SUGAR,JAM,HONEY,SYRUPS,CHOCOLATE & CONFECTIONERY 2015=100",D7HO,
CPI ANNUAL RATE 00: ALL ITEMS 2015=100,D7G7,
CPI ANNUAL RATE 01 : FOOD AND NON-ALCOHOLIC BEVERAGES 2015=100,D7G8,
CPI ANNUAL RATE 01.1 : FOOD 2015=100,D7GK,
CPI ANNUAL RATE 01.1.1 : BREAD & CEREALS 2015=100,D7HH,
CPI ANNUAL RATE 01.1.1.1 Rice 2015=100,L7JM,
CPI ANNUAL RATE 01.1.1.2 Flours and other cereals 2015=100,L7JN,
CPI ANNUAL RATE 01.1.1.3 Bread 2015=100,L7JO,
CPI ANNUAL RATE 01.1.1.4 Other bakery products 2015=100,L7JP,
CPI ANNUAL RATE 01.1.1.5 Pizza and quiche 2015=100,L7JQ,
CPI ANNUAL RATE 01.1.1.6 Pasta products and couscous 2015=100,L7JT,
CPI ANNUAL RATE 01.1.1.7/8 Breakfast cereals and other cereal products 2015=100,L7JU,
CPI ANNUAL RATE 01.1.2 : MEAT 2015=100,D7HI,
CPI ANNUAL RATE 01.1.2.1 Beef and veal 2015=100,L7JX,
CPI ANNUAL RATE 01.1.2.2 Pork 2015=100,L7JY,
CPI ANNUAL RATE 01.1.2.3 Lamb and goat 2015=100,L7JZ,
CPI ANNUAL RATE 01.1.2.4 Poultry 2015=100,L7K2,
CPI ANNUAL RATE 01.1.2.6 Edible offal 2015=100,L7K4,
"CPI ANNUAL RATE 01.1.2.7 Dried, salted or smoked meat 2015=100",L7K6,
CPI ANNUAL RATE 01.1.2.8 Other meat preparations 2015=100,L7K8,
CPI ANNUAL RATE 01.1.3 : FISH 2015=100,D7HJ,
CPI ANNUAL RATE 01.1.3.1 Fresh or chilled fish 2015=100,L7KC,
CPI ANNUAL RATE 01.1.3.4 Frozen seafood 2015=100,L7KD,
CPI ANNUAL RATE 01.1.3.6 Other preserved or processed fish and seafood - based preparations 2015=100,L7KE,
"CPI ANNUAL RATE 01.1.4 : MILK, CHEESE & EGGS 2015=100",D7HK,
CPI ANNUAL RATE 01.1.4.1 Whole milk 2015=100,L7KG,
CPI ANNUAL RATE 01.1.4.2 Low fat milk 2015=100,L7KJ,
CPI ANNUAL RATE 01.1.4.4 Yoghurt 2015=100,L7KN,
CPI ANNUAL RATE 01.1.4.5 Cheese and curd 2015=100,L7KO,
CPI ANNUAL RATE 01.1.4.6 Other milk products 2015=100,L7KQ,
CPI ANNUAL RATE 01.1.4.7 Eggs 2015=100,L7KR,
CPI ANNUAL RATE 01.1.5 : OILS & FATS 2015=100,D7HL,
CPI ANNUAL RATE 01.1.5.1 Butter 2015=100,L7KS,
CPI ANNUAL RATE 01.1.5.2 Margarine and other vegetable fats 2015=100,L7KU,
CPI ANNUAL RATE 01.1.5.3 Olive oil 2015=100,L7KV,
CPI ANNUAL RATE 01.1.6 : FRUIT 2015=100,D7HM,
CPI ANNUAL RATE 01.1.6.1 Fresh or chilled fruit 2015=100,L7KW,
CPI ANNUAL RATE 01.1.6.3 Dried fruit and nuts 2015=100,L7KX,
CPI ANNUAL RATE 01.1.6.4 Preserved fruit and fruit-based products 2015=100,L7KY,
CPI ANNUAL RATE 01.1.7 : VEGETABLES INCLUDING POTATOES AND OTHER TUBERS 2015=100,D7HN,
CPI ANNUAL RATE 01.1.7.1 Fresh or chilled vegetables other than potatoes and other tubers 2015=100,L7L2,
CPI ANNUAL RATE 01.1.7.2 Frozen vegetables other than potatoes and other tubers 2015=100,L7L3,
"CPI ANNUAL RATE 01.1.7.3 Dried vegetables, other preserved or processed vegetables 2015=100",L7L4,
CPI ANNUAL RATE 01.1.7.4 Potatoes 2015=100,L7L5,
CPI ANNUAL RATE 01.1.7.5 Crisps 2015=100,L7L6,
CPI ANNUAL RATE 01.1.7.6 Other tubers and products of tuber vegetables 2015=100,L7L7,
CPI ANNUAL RATE 01.1.8.1 Sugar 2015=100,L7L8,
"CPI ANNUAL RATE 01.1.8.2 Jams, marmalades and honey 2015=100",L7LA,
CPI ANNUAL RATE 01.1.8.3 Chocolate 2015=100,L7LC,
CPI ANNUAL RATE 01.1.8.4 Confectionery products 2015=100,L7LD,
CPI ANNUAL RATE 01.1.8.5 Edible ices and ice cream 2015=100,L7LE,
CPI ANNUAL RATE 01.1.9 : FOOD PRODUCTS (NEC) 2015=100,D7HP,
"CPI ANNUAL RATE 01.1.9.1 Sauces, condiments 2015=100",L7LG,
CPI ANNUAL RATE 01.1.9.4 Ready-made meals 2015=100,L7LI,
CPI ANNUAL RATE 01.1.9.9 Other food products n.e.c. 2015=100,L7LK,
CPI ANNUAL RATE 01.2 : NON-ALCOHOLIC BEVERAGES 2015=100,D7GL,
"CPI ANNUAL RATE 01.2.1 : COFFEE, TEA, COCOA 2015=100",D7HQ,
CPI ANNUAL RATE 01.2.1.1 Coffee 2015=100,L7LM,
CPI ANNUAL RATE 01.2.1.2 Tea 2015=100,L7LN,
CPI ANNUAL RATE 01.2.1.3 Cocoa and powdered chocolate 2015=100,L7LO,
"CPI ANNUAL RATE 01.2.2 : MINERAL WATERS, SOFT DRINKS AND JUICES 2015=100",D7HR,
CPI ANNUAL RATE 01.2.2.1 Mineral or spring waters 2015=100,L7LQ,
CPI ANNUAL RATE 01.2.2.2 Soft drinks 2015=100,L7LR,
CPI ANNUAL RATE 01.2.2.3 Fruit and vegetable juices 2015=100,L7LS,
"CPI ANNUAL RATE 02 : ALCOHOLIC BEVERAGES,TOBACCO 2015=100",D7G9,
CPI ANNUAL RATE 02.1 : ALCOHOLIC BEVERAGES 2015=100,D7GM,
CPI ANNUAL RATE 02.1.1 : SPIRITS 2015=100,D7HS,
CPI ANNUAL RATE 02.1.2 : WINE 2015=100,D7HT,
CPI ANNUAL RATE 02.1.2.1 Wine from grapes 2015=100,L7LW,
CPI ANNUAL RATE 02.1.2.2 Wine from other fruits 2015=100,L7LY,
CPI ANNUAL RATE 02.1.2.3 Fortified wines 2015=100,L7LZ,
CPI ANNUAL RATE 02.1.3 : BEER 2015=100,D7HU,
CPI ANNUAL RATE 02.1.3.1 Lager beer 2015=100,L7M2,
CPI ANNUAL RATE 02.1.3.2 Other alcoholic beer 2015=100,L7M4,
CPI ANNUAL RATE 02.2 : TOBACCO 2015=100,D7GN,
CPI ANNUAL RATE 02.2.0.1 Cigarettes 2015=100,L7M6,
CPI ANNUAL RATE 02.2.0.2 Cigars 2015=100,L7M8,
CPI ANNUAL RATE 02.2.0.3 Other tobacco products 2015=100,L7MA,
CPI ANNUAL RATE 03 : CLOTHING AND FOOTWEAR 2015=100,D7GA,
CPI ANNUAL RATE 03.1 : CLOTHING 2015=100,D7GO,
CPI ANNUAL RATE 03.1.2 : GARMENTS 2015=100,D7HW,
CPI ANNUAL RATE 03.1.2.1 Garments for men 2015=100,L7MB,
CPI ANNUAL RATE 03.1.2.2 Garments for women 2015=100,L7MC,
CPI ANNUAL RATE 03.1.2.3 Garments for infants and children (0 to 2 years) and children (3 to 13 years) 2015=100,L7ME,
CPI ANNUAL RATE 03.1.3 : OTHER ARTICLES OF CLOTHING & ACCESSORIES 2015=100,D7HX,
CPI ANNUAL RATE 03.1.3.1 Other articles of clothing 2015=100,L7MF,
CPI ANNUAL RATE 03.1.3.2 Clothing accessories 2015=100,L7MG,
"CPI ANNUAL RATE 03.1.4 : Cleaning, repair and hire of clothing 2015=100",D7HY,
CPI ANNUAL RATE 03.1.4.1 Cleaning of clothing 2015=100,L7MI,
CPI ANNUAL RATE 03.1.4.2 Repair and hire of clothing 2015=100,L7MK,
CPI ANNUAL RATE 03.2 : FOOTWEAR INCLUDING REPAIRS 2015=100,D7GP,
CPI ANNUAL RATE 03.2.1.1 Footwear for men 2015=100,L7MM,
CPI ANNUAL RATE 03.2.1.2 Footwear for women 2015=100,L7MN,
CPI ANNUAL RATE 03.2.1.3 Footwear for infants and children 2015=100,L7MO,
"CPI ANNUAL RATE 04 : HOUSING, WATER AND FUELS 2015=100",D7GB,
CPI ANNUAL RATE 04.1 : ACTUAL RENTS FOR HOUSING 2015=100,D7GQ,
CPI ANNUAL RATE 04.3 : REGULAR MAINTENANCE AND REPAIR OF THE DWELLING 2015=100,D7GR,
CPI ANNUAL RATE 04.3.1 : Materials for maintenance and repair 2015=100,D7HZ,
CPI ANNUAL RATE 04.3.2 : Services for maintenance and repair 2015=100,D7I2,
CPI ANNUAL RATE 04.3.2.1 Services of plumbers 2015=100,L7MU,
CPI ANNUAL RATE 04.3.2.2 Services of electricians 2015=100,L7MV,
CPI ANNUAL RATE 04.3.2.4 Services of painters 2015=100,L7MW,
CPI ANNUAL RATE 04.3.2.5 Services of carpenters 2015=100,L7MX,
CPI ANNUAL RATE 04.4 : Water supply and misc. services for the dwelling 2015=100,D7GS,
CPI ANNUAL RATE 04.4.1 : WATER SUPPLY 2015=100,D7I5,
CPI ANNUAL RATE 04.4.3 : SEWERAGE COLLECTION 2015=100,D7I4,
"CPI ANNUAL RATE 04.5 : ELECTRICITY, GAS AND OTHER FUELS 2015=100",D7GT,
CPI ANNUAL RATE 04.5.1 : ELECTRICITY 2015=100,D7I7,
CPI ANNUAL RATE 04.5.2 : GAS 2015=100,D7I8,
CPI ANNUAL RATE 04.5.2.1 Natural gas and town gas 2015=100,L7N4,
"CPI ANNUAL RATE 04.5.2.2 Liquefied hydrocarbons (butane, propane, etc) 2015=100",L7N6,
CPI ANNUAL RATE 04.5.3 : LIQUID FUELS 2015=100,D7I9,
CPI ANNUAL RATE 04.5.4 : SOLID FUELS 2015=100,D7IA,
"CPI ANNUAL RATE 05 : FURN, HH EQUIP & REPAIR OF THE HOUSE 2015=100",D7GC,
"CPI ANNUAL RATE 05.1.1 : FURNITURE, FURNISHINGS 2015=100",D7IC,
CPI ANNUAL RATE 05.1.1.1 Household furniture 2015=100,L7NT,
CPI ANNUAL RATE 05.1.1.2 Garden furniture 2015=100,L7NU,
CPI ANNUAL RATE 05.1.1.3 Lighting equipment 2015=100,L7OH,
CPI ANNUAL RATE 05.1.1.9 Other furniture and furnishings 2015=100,L7OI,
CPI ANNUAL RATE 05.1.2 : CARPETS & OTHER FLOOR COVERINGS 2015=100,D7ID,
CPI ANNUAL RATE 05.1.2.1 Carpets and rugs 2015=100,L7OJ,
CPI ANNUAL RATE 05.1.2.2 Other floor coverings 2015=100,L7OK,
"CPI ANNUAL RATE 05.1:Furniture, furnishings and carpets 2015=100",D7GU,
CPI ANNUAL RATE 05.2 : HOUSEHOLD TEXTILES 2015=100,D7GV,
CPI ANNUAL RATE 05.2.0.1 Furnishing fabrics and curtains 2015=100,L7PV,
CPI ANNUAL RATE 05.2.0.2 Bed linen 2015=100,L7PW,
CPI ANNUAL RATE 05.2.0.3 Table linen and bathroom linen 2015=100,L7Q7,
"CPI ANNUAL RATE 05.3 : Household appliances, fitting and repairs 2015=100",D7GW,
"CPI ANNUAL RATE 05.3.1.1 Refrigerators, freezers and fridge-freezers 2015=100",L7Q8,
"CPI ANNUAL RATE 05.3.1.2 Clothes washing machines, clothes drying machines and dish washing machines 2015=100",L7Q9,
CPI ANNUAL RATE 05.3.1.3 Cookers 2015=100,L7QA,
"CPI ANNUAL RATE 05.3.1.4 Heaters, air conditioners 2015=100",L7QB,
CPI ANNUAL RATE 05.3.1.5 Cleaning equipment 2015=100,L7QC,
CPI ANNUAL RATE 05.3.1/2 : Major appliances and small electric goods 2015=100,D7IF,
"CPI ANNUAL RATE 05.3.2.2 Coffee machines, tea makers and similar appliances 2015=100",L7QD,
CPI ANNUAL RATE 05.3.2.3 Irons 2015=100,L7QE,
CPI ANNUAL RATE 05.3.2.9 Other small electric household appliances 2015=100,L7QF,
CPI ANNUAL RATE 05.3.3 : REPAIR OF HOUSEHOLD APPLIANCES 2015=100,D7IG,
"CPI ANNUAL RATE 05.4 : GLASSWARE, TABLEWARE AND HOUSEHOLD UTENSILS 2015=100",D7GX,
"CPI ANNUAL RATE 05.4.0.1 Glassware, crystal-ware, ceramic ware and chinaware 2015=100",L7QH,
"CPI ANNUAL RATE 05.4.0.2 Cutlery, flatware and silverware 2015=100",L7QI,
CPI ANNUAL RATE 05.4.0.3 Non-electric kitchen utensils and articles 2015=100,L7QJ,
CPI ANNUAL RATE 05.5 : TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN 2015=100,D7GY,
CPI ANNUAL RATE 05.5.1.1 Motorized major tools and equipment 2015=100,L7QK,
"CPI ANNUAL RATE 05.5.1.2 Repair, leasing and rental of major tools and equipment 2015=100",L7QL,
CPI ANNUAL RATE 05.5.2.1 Non-motorized small tools 2015=100,L7QM,
CPI ANNUAL RATE 05.5.2.2 Miscellaneous small tool accessories 2015=100,L7QN,
CPI ANNUAL RATE 05.6.1 : NON-DURABLE HOUSEHOLD GOODS 2015=100,D7IH,
CPI ANNUAL RATE 05.6.1.1 Cleaning and maintenance products 2015=100,L7QO,
CPI ANNUAL RATE 05.6.1.2 Other non-durable small household articles 2015=100,L7QP,
CPI ANNUAL RATE 05.6.2 : Domestic services and household services 2015=100,D7II,
CPI ANNUAL RATE 05.6.2.1 Domestic services by paid staff 2015=100,L7QQ,
CPI ANNUAL RATE 05.6.2.9 Other domestic services and household services 2015=100,L7QR,
CPI ANNUAL RATE 05.6: Goods and services for routine maintenance 2015=100,D7GZ,
CPI ANNUAL RATE 06 : HEALTH 2015=100,D7GD,
CPI ANNUAL RATE 06.1 : MEDICAL PRODUCTS APPLIANCES AND EQUIPMENT 2015=100,D7NO,
CPI ANNUAL RATE 06.1.1 : PHARMACEUTICAL PRODUCTS 2015=100,D7NP,
CPI ANNUAL RATE 06.1.2.1 Pregnancy tests and mechanical contraceptive devices 2015=100,L7QT,
CPI ANNUAL RATE 06.1.2.9 Other medical products n.e.c. 2015=100,L7QU,
CPI ANNUAL RATE 06.1.2/3: OTHER MEDICAL & THERAPEUTIC APPLIANCES 2015=100,D7NQ,
CPI ANNUAL RATE 06.1.3.1 Corrective eye-glasses and contact lenses 2015=100,L7QV,
CPI ANNUAL RATE 06.2 : OUT-PATIENT SERVICES 2015=100,D7NR,
CPI ANNUAL RATE 06.2.1/3 : MEDICAL SERVICES AND PARAMEDICAL SERVICES 2015=100,D7NS,
CPI ANNUAL RATE 06.2.2 : DENTAL SERVICES 2015=100,D7NT,
CPI ANNUAL RATE 06.3 : HOSPITAL SERVICES 2015=100,D7NU,
CPI ANNUAL RATE 07 : TRANSPORT 2015=100,D7GE,
CPI ANNUAL RATE 07.1 : PURCHASE OF VEHICLES 2015=100,D7H2,
CPI ANNUAL RATE 07.1.1A : NEW CARS 2015=100,D7IK,
CPI ANNUAL RATE 07.1.1B : SECOND-HAND CARS 2015=100,D7IL,
CPI ANNUAL RATE 07.1.2.0 Motor cycles 2015=100,L7QY,
CPI ANNUAL RATE 07.1.2/3 : MOTOR CYCLES AND BICYCLES 2015=100,D7IM,
CPI ANNUAL RATE 07.1.3.0 Bicycles 2015=100,L7QZ,
CPI ANNUAL RATE 07.2 : OPERATION OF PERSONAL TRANSPORT EQUIPMENT 2015=100,D7H3,
CPI ANNUAL RATE 07.2.1 : SPARE PARTS & ACCESSORIES 2015=100,D7IN,
CPI ANNUAL RATE 07.2.1.1 Tyres 2015=100,L7R2,
CPI ANNUAL RATE 07.2.1.2 Spare parts for personal transport equipment 2015=100,L7R3,
CPI ANNUAL RATE 07.2.2 : FUELS & LUBRICANTS 2015=100,D7IO,
CPI ANNUAL RATE 07.2.2.1 Diesel 2015=100,L7R4,
CPI ANNUAL RATE 07.2.2.2 Petrol 2015=100,L7R5,
CPI ANNUAL RATE 07.2.2.4 Lubricants 2015=100,L7R6,
CPI ANNUAL RATE 07.2.3 : MAINTENANCE & REPAIRS 2015=100,D7IP,
CPI ANNUAL RATE 07.2.4 :OTHER SERVICES 2015=100,D7IQ,
CPI ANNUAL RATE 07.2.4.2 Toll facilities and parking meters 2015=100,L7RD,
CPI ANNUAL RATE 07.3 : TRANSPORT SERVICES 2015=100,D7H4,
CPI ANNUAL RATE 07.3.1 : PASSENGER TRANSPORT BY RAILWAY 2015=100,D7IR,
CPI ANNUAL RATE 07.3.1.1 Passenger transport by train 2015=100,L7RF,
CPI ANNUAL RATE 07.3.1.2 Passenger transport by underground and tram 2015=100,L7RG,
CPI ANNUAL RATE 07.3.2.1 Passenger transport by bus and coach 2015=100,L7RH,
CPI ANNUAL RATE 07.3.2.2 Passengar transport by taxi and hired car with driver 2015=100,L7RI,
CPI ANNUAL RATE 07.3.3 : PASSENGER TRANSPORT BY AIR 2015=100,D7IT,
CPI ANNUAL RATE 07.3.4 : PASSENGER TRANSPORT BY SEA AND INLAND WATERWAY 2015=100,D7IU,
CPI ANNUAL RATE 07.3.6.2 Removal and Storage Services 2015=100,L7RJ,
CPI ANNUAL RATE 08 : COMMUNICATION 2015=100,D7GF,
CPI ANNUAL RATE 08.1 : POSTAL SERVICES 2015=100,D7H5,
CPI ANNUAL RATE 08.2 : TELEPHONE AND TELEFAX EQUIPMENT AND SERVICES 2015=100,D7IY,
CPI ANNUAL RATE 08.2.0.1 Fixed telephone equipment 2015=100,L7RM,
CPI ANNUAL RATE 08.2.0.2 Mobile telephone equipment 2015=100,L7RN,
CPI ANNUAL RATE 08.3.0.1 Wired telephone services 2015=100,L7RO,
CPI ANNUAL RATE 08.3.0.2 Wireless telephone services 2015=100,L7RR,
CPI ANNUAL RATE 08.3.0.3 Internet access provision services 2015=100,L7RS,
CPI ANNUAL RATE 08.3.0.4 Bundled telecommunication services 2015=100,L7RT,
CPI ANNUAL RATE 09 : RECREATION & CULTURE 2015=100,D7GG,
CPI ANNUAL RATE 09.1 : Audio-visual equipment and related products 2015=100,D7H6,
CPI ANNUAL RATE 09.1.1 : Reception and reproduction of sound and pictures 2015=100,D7IZ,
"CPI ANNUAL RATE 09.1.1.1 Equipment for the reception, recording and reproduction of sound 2015=100",L7RU,
"CPI ANNUAL RATE 09.1.1.2 Equipment for the reception, recording and reproduction of sound and vision 2015=100",L7RV,
CPI ANNUAL RATE 09.1.1.3 Portable sound and vision devices 2015=100,L7RW,
"CPI ANNUAL RATE 09.1.1.9 Other equipment for the reception, recording and reproduction of sound and picture 2015=100",L7RZ,
"CPI ANNUAL RATE 09.1.2 : Photographic, cinematographic and optical equipment 2015=100",D7J2,
CPI ANNUAL RATE 09.1.3 : Data processing equipment 2015=100,D7J3,
CPI ANNUAL RATE 09.1.3.1 Personal computers 2015=100,L7S3,
CPI ANNUAL RATE 09.1.3.2 Accessories for information processing equipment 2015=100,L7S4,
CPI ANNUAL RATE 09.1.3.3 Software 2015=100,L7S5,
CPI ANNUAL RATE 09.1.4 : RECORDING MEDIA 2015=100,D7J6,
CPI ANNUAL RATE 09.1.4.1 Pre-recorded recording media 2015=100,L7S6,
CPI ANNUAL RATE 09.1.4.2 Unrecorded recording media 2015=100,L7S7,
CPI ANNUAL RATE 09.1.4.9 Other recording media 2015=100,L7S8,
