Year,Region,Value,Metric,Detail
1988,Latin America and Caribbean,945.4112,Total fossil CO2 emissions (million tonnes),
1989,Latin America and Caribbean,976.1123,Total fossil CO2 emissions (million tonnes),
1990,Latin America and Caribbean,967.8707,Total fossil CO2 emissions (million tonnes),
1991,Latin America and Caribbean,989.2416,Total fossil CO2 emissions (million tonnes),
1992,Latin America and Caribbean,1008.377,Total fossil CO2 emissions (million tonnes),
1993,Latin America and Caribbean,1040.21,Total fossil CO2 emissions (million tonnes),
1994,Latin America and Caribbean,1096.685,Total fossil CO2 emissions (million tonnes),
1995,Latin America and Caribbean,1123.079,Total fossil CO2 emissions (million tonnes),
1996,Latin America and Caribbean,1197.585,Total fossil CO2 emissions (million tonnes),
1997,Latin America and Caribbean,1268.586,Total fossil CO2 emissions (million tonnes),
1998,Latin America and Caribbean,1315.368,Total fossil CO2 emissions (million tonnes),
1999,Latin America and Caribbean,1303.129,Total fossil CO2 emissions (million tonnes),
2000,Latin America and Caribbean,1358.869,Total fossil CO2 emissions (million tonnes),
2001,Latin America and Caribbean,1357.227,Total fossil CO2 emissions (million tonnes),
2002,Latin America and Caribbean,1355.694,Total fossil CO2 emissions (million tonnes),
2003,Latin America and Caribbean,1390.588,Total fossil CO2 emissions (million tonnes),
2004,Latin America and Caribbean,1455.55,Total fossil CO2 emissions (million tonnes),
2005,Latin America and Caribbean,1498.503,Total fossil CO2 emissions (million tonnes),
2006,Latin America and Caribbean,1537.975,Total fossil CO2 emissions (million tonnes),
2007,Latin America and Caribbean,1586.125,Total fossil CO2 emissions (million tonnes),
2008,Latin America and Caribbean,1659.255,Total fossil CO2 emissions (million tonnes),
2009,Latin America and Caribbean,1619.355,Total fossil CO2 emissions (million tonnes),
2010,Latin America and Caribbean,1723.979,Total fossil CO2 emissions (million tonnes),
2011,Latin America and Caribbean,1763.139,Total fossil CO2 emissions (million tonnes),
2012,Latin America and Caribbean,1848.635,Total fossil CO2 emissions (million tonnes),
2013,Latin America and Caribbean,1871.875,Total fossil CO2 emissions (million tonnes),
2014,Latin America and Caribbean,1900.704,Total fossil CO2 emissions (million tonnes),
2015,Latin America and Caribbean,1872.78,Total fossil CO2 emissions (million tonnes),
2016,Latin America and Caribbean,1857.491,Total fossil CO2 emissions (million tonnes),
2017,Latin America and Caribbean,1861.457,Total fossil CO2 emissions (million tonnes),
2018,Latin America and Caribbean,1844.26,Total fossil CO2 emissions (million tonnes),
1970,North America,5050.316,Total fossil CO2 emissions (million tonnes),
1971,North America,4928.784,Total fossil CO2 emissions (million tonnes),
1972,North America,5195.206,Total fossil CO2 emissions (million tonnes),
1973,North America,5401.893,Total fossil CO2 emissions (million tonnes),
1974,North America,5242.811,Total fossil CO2 emissions (million tonnes),
1975,North America,5017.302,Total fossil CO2 emissions (million tonnes),
1976,North America,5324.616,Total fossil CO2 emissions (million tonnes),
1977,North America,5503.259,Total fossil CO2 emissions (million tonnes),
1978,North America,5500.961,Total fossil CO2 emissions (million tonnes),
1979,North America,5555.443,Total fossil CO2 emissions (million tonnes),
1980,North America,5332.382,Total fossil CO2 emissions (million tonnes),
1981,North America,5243.218,Total fossil CO2 emissions (million tonnes),
1982,North America,4977.526,Total fossil CO2 emissions (million tonnes),
1983,North America,4952.58,Total fossil CO2 emissions (million tonnes),
1984,North America,5182.642,Total fossil CO2 emissions (million tonnes),
1985,North America,5208.479,Total fossil CO2 emissions (million tonnes),
1986,North America,5157.76,Total fossil CO2 emissions (million tonnes),
1987,North America,5326.575,Total fossil CO2 emissions (million tonnes),
1988,North America,5579.281,Total fossil CO2 emissions (million tonnes),
1989,North America,5652.303,Total fossil CO2 emissions (million tonnes),
1990,North America,5519.037,Total fossil CO2 emissions (million tonnes),
1991,North America,5470.346,Total fossil CO2 emissions (million tonnes),
1992,North America,5563.903,Total fossil CO2 emissions (million tonnes),
1993,North America,5682.068,Total fossil CO2 emissions (million tonnes),
1994,North America,5782.368,Total fossil CO2 emissions (million tonnes),
1995,North America,5846.493,Total fossil CO2 emissions (million tonnes),
1996,North America,6007.793,Total fossil CO2 emissions (million tonnes),
1997,North America,6198.224,Total fossil CO2 emissions (million tonnes),
1998,North America,6218.293,Total fossil CO2 emissions (million tonnes),
1999,North America,6248.823,Total fossil CO2 emissions (million tonnes),
2000,North America,6473.669,Total fossil CO2 emissions (million tonnes),
2001,North America,6406.223,Total fossil CO2 emissions (million tonnes),
2002,North America,6333.483,Total fossil CO2 emissions (million tonnes),
2003,North America,6428.98,Total fossil CO2 emissions (million tonnes),
2004,North America,6504.709,Total fossil CO2 emissions (million tonnes),
2005,North America,6526.536,Total fossil CO2 emissions (million tonnes),
2006,North America,6414.545,Total fossil CO2 emissions (million tonnes),
2007,North America,6525.266,Total fossil CO2 emissions (million tonnes),
2008,North America,6315.627,Total fossil CO2 emissions (million tonnes),
2009,North America,5864.901,Total fossil CO2 emissions (million tonnes),
2010,North America,6121.689,Total fossil CO2 emissions (million tonnes),
2011,North America,6001.742,Total fossil CO2 emissions (million tonnes),
2012,North America,5822.263,Total fossil CO2 emissions (million tonnes),
2013,North America,5908.356,Total fossil CO2 emissions (million tonnes),
2014,North America,5984.997,Total fossil CO2 emissions (million tonnes),
2015,North America,5815.678,Total fossil CO2 emissions (million tonnes),
2016,North America,5748.925,Total fossil CO2 emissions (million tonnes),
2017,North America,5723.973,Total fossil CO2 emissions (million tonnes),
2018,North America,5870.195,Total fossil CO2 emissions (million tonnes),
1970,East Asia and Pacific,2196.186,Total fossil CO2 emissions (million tonnes),
1971,East Asia and Pacific,2200.726,Total fossil CO2 emissions (million tonnes),
1972,East Asia and Pacific,2336.716,Total fossil CO2 emissions (million tonnes),
1973,East Asia and Pacific,2535.852,Total fossil CO2 emissions (million tonnes),
1974,East Asia and Pacific,2570.469,Total fossil CO2 emissions (million tonnes),
1975,East Asia and Pacific,2687.103,Total fossil CO2 emissions (million tonnes),
1976,East Asia and Pacific,2798.248,Total fossil CO2 emissions (million tonnes),
1977,East Asia and Pacific,3038.91,Total fossil CO2 emissions (million tonnes),
1978,East Asia and Pacific,3342.671,Total fossil CO2 emissions (million tonnes),
1979,East Asia and Pacific,3452.481,Total fossil CO2 emissions (million tonnes),
1980,East Asia and Pacific,3421.381,Total fossil CO2 emissions (million tonnes),
1981,East Asia and Pacific,3393.239,Total fossil CO2 emissions (million tonnes),
1982,East Asia and Pacific,3438.987,Total fossil CO2 emissions (million tonnes),
1983,East Asia and Pacific,3551.928,Total fossil CO2 emissions (million tonnes),
1984,East Asia and Pacific,3809.898,Total fossil CO2 emissions (million tonnes),
1985,East Asia and Pacific,3845.996,Total fossil CO2 emissions (million tonnes),
1986,East Asia and Pacific,3983.122,Total fossil CO2 emissions (million tonnes),
1987,East Asia and Pacific,4169.985,Total fossil CO2 emissions (million tonnes),
1988,East Asia and Pacific,4487.241,Total fossil CO2 emissions (million tonnes),
1989,East Asia and Pacific,4659.211,Total fossil CO2 emissions (million tonnes),
1990,East Asia and Pacific,4849.125,Total fossil CO2 emissions (million tonnes),
1991,East Asia and Pacific,5061.312,Total fossil CO2 emissions (million tonnes),
1992,East Asia and Pacific,5248.695,Total fossil CO2 emissions (million tonnes),
1993,East Asia and Pacific,5553.056,Total fossil CO2 emissions (million tonnes),
1994,East Asia and Pacific,5859.494,Total fossil CO2 emissions (million tonnes),
1995,East Asia and Pacific,6300.681,Total fossil CO2 emissions (million tonnes),
1996,East Asia and Pacific,6387.744,Total fossil CO2 emissions (million tonnes),
1997,East Asia and Pacific,6534.139,Total fossil CO2 emissions (million tonnes),
1998,East Asia and Pacific,6517.293,Total fossil CO2 emissions (million tonnes),
1999,East Asia and Pacific,6586.062,Total fossil CO2 emissions (million tonnes),
2000,East Asia and Pacific,6943.027,Total fossil CO2 emissions (million tonnes),
2001,East Asia and Pacific,7172.729,Total fossil CO2 emissions (million tonnes),
2002,East Asia and Pacific,7564.143,Total fossil CO2 emissions (million tonnes),
2003,East Asia and Pacific,8311.117,Total fossil CO2 emissions (million tonnes),
2004,East Asia and Pacific,9149.512,Total fossil CO2 emissions (million tonnes),
2005,East Asia and Pacific,9914.739,Total fossil CO2 emissions (million tonnes),
2006,East Asia and Pacific,10656.12,Total fossil CO2 emissions (million tonnes),
2007,East Asia and Pacific,11438.54,Total fossil CO2 emissions (million tonnes),
2008,East Asia and Pacific,11551.84,Total fossil CO2 emissions (million tonnes),
2009,East Asia and Pacific,12026.91,Total fossil CO2 emissions (million tonnes),
2010,East Asia and Pacific,12960.87,Total fossil CO2 emissions (million tonnes),
2011,East Asia and Pacific,13948.16,Total fossil CO2 emissions (million tonnes),
2012,East Asia and Pacific,14258.58,Total fossil CO2 emissions (million tonnes),
2013,East Asia and Pacific,14773.49,Total fossil CO2 emissions (million tonnes),
2014,East Asia and Pacific,14915.34,Total fossil CO2 emissions (million tonnes),
2015,East Asia and Pacific,14918.09,Total fossil CO2 emissions (million tonnes),
2016,East Asia and Pacific,15174.33,Total fossil CO2 emissions (million tonnes),
2017,East Asia and Pacific,15375.31,Total fossil CO2 emissions (million tonnes),
2018,East Asia and Pacific,15624.73,Total fossil CO2 emissions (million tonnes),
1970,Europe and Central Asia,6585.2,Total fossil CO2 emissions (million tonnes),
1971,Europe and Central Asia,6589.581,Total fossil CO2 emissions (million tonnes),
1972,Europe and Central Asia,6841.995,Total fossil CO2 emissions (million tonnes),
1973,Europe and Central Asia,7226.006,Total fossil CO2 emissions (million tonnes),
1974,Europe and Central Asia,7254.745,Total fossil CO2 emissions (million tonnes),
1975,Europe and Central Asia,7301.072,Total fossil CO2 emissions (million tonnes),
1976,Europe and Central Asia,7692.183,Total fossil CO2 emissions (million tonnes),
1977,Europe and Central Asia,7755.194,Total fossil CO2 emissions (million tonnes),
1978,Europe and Central Asia,8103.163,Total fossil CO2 emissions (million tonnes),
1979,Europe and Central Asia,8331.923,Total fossil CO2 emissions (million tonnes),
1980,Europe and Central Asia,8293.42,Total fossil CO2 emissions (million tonnes),
1981,Europe and Central Asia,8056.98,Total fossil CO2 emissions (million tonnes),
1982,Europe and Central Asia,7987.065,Total fossil CO2 emissions (million tonnes),
1983,Europe and Central Asia,8007.115,Total fossil CO2 emissions (million tonnes),
1984,Europe and Central Asia,8053.906,Total fossil CO2 emissions (million tonnes),
1985,Europe and Central Asia,8142.317,Total fossil CO2 emissions (million tonnes),
1986,Europe and Central Asia,8272.997,Total fossil CO2 emissions (million tonnes),
1987,Europe and Central Asia,8439.668,Total fossil CO2 emissions (million tonnes),
1988,Europe and Central Asia,8500.827,Total fossil CO2 emissions (million tonnes),
1989,Europe and Central Asia,8509.749,Total fossil CO2 emissions (million tonnes),
1990,Europe and Central Asia,8601.167,Total fossil CO2 emissions (million tonnes),
1991,Europe and Central Asia,8439.353,Total fossil CO2 emissions (million tonnes),
1992,Europe and Central Asia,7941.015,Total fossil CO2 emissions (million tonnes),
1993,Europe and Central Asia,7498.473,Total fossil CO2 emissions (million tonnes),
1994,Europe and Central Asia,7085.917,Total fossil CO2 emissions (million tonnes),
1995,Europe and Central Asia,7055.779,Total fossil CO2 emissions (million tonnes),
1996,Europe and Central Asia,7057.996,Total fossil CO2 emissions (million tonnes),
1997,Europe and Central Asia,6837.879,Total fossil CO2 emissions (million tonnes),
1998,Europe and Central Asia,6832.892,Total fossil CO2 emissions (million tonnes),
1999,Europe and Central Asia,6788.204,Total fossil CO2 emissions (million tonnes),
2000,Europe and Central Asia,6869.457,Total fossil CO2 emissions (million tonnes),
2001,Europe and Central Asia,6918.969,Total fossil CO2 emissions (million tonnes),
2002,Europe and Central Asia,6910.526,Total fossil CO2 emissions (million tonnes),
2003,Europe and Central Asia,7127.115,Total fossil CO2 emissions (million tonnes),
2004,Europe and Central Asia,7150.955,Total fossil CO2 emissions (million tonnes),
2005,Europe and Central Asia,7119.731,Total fossil CO2 emissions (million tonnes),
2006,Europe and Central Asia,7252.122,Total fossil CO2 emissions (million tonnes),
2007,Europe and Central Asia,7252.456,Total fossil CO2 emissions (million tonnes),
2008,Europe and Central Asia,7197.373,Total fossil CO2 emissions (million tonnes),
2009,Europe and Central Asia,6627.9,Total fossil CO2 emissions (million tonnes),
2010,Europe and Central Asia,6922.347,Total fossil CO2 emissions (million tonnes),
2011,Europe and Central Asia,6924.766,Total fossil CO2 emissions (million tonnes),
2012,Europe and Central Asia,6913.739,Total fossil CO2 emissions (million tonnes),
2013,Europe and Central Asia,6752.438,Total fossil CO2 emissions (million tonnes),
2014,Europe and Central Asia,6519.001,Total fossil CO2 emissions (million tonnes),
2015,Europe and Central Asia,6518.827,Total fossil CO2 emissions (million tonnes),
2016,Europe and Central Asia,6547.84,Total fossil CO2 emissions (million tonnes),
2017,Europe and Central Asia,6606.6,Total fossil CO2 emissions (million tonnes),
2018,Europe and Central Asia,6649.626,Total fossil CO2 emissions (million tonnes),
1970,South Asia,261.4283,Total fossil CO2 emissions (million tonnes),
1971,South Asia,263.4271,Total fossil CO2 emissions (million tonnes),
1972,South Asia,273.9128,Total fossil CO2 emissions (million tonnes),
1973,South Asia,274.1207,Total fossil CO2 emissions (million tonnes),
1974,South Asia,293.2762,Total fossil CO2 emissions (million tonnes),
1975,South Asia,313.6462,Total fossil CO2 emissions (million tonnes),
1976,South Asia,332.5788,Total fossil CO2 emissions (million tonnes),
1977,South Asia,339.721,Total fossil CO2 emissions (million tonnes),
1978,South Asia,310.336,Total fossil CO2 emissions (million tonnes),
1979,South Asia,334.217,Total fossil CO2 emissions (million tonnes),
1980,South Asia,349.476,Total fossil CO2 emissions (million tonnes),
1981,South Asia,382.1709,Total fossil CO2 emissions (million tonnes),
1982,South Asia,408.7572,Total fossil CO2 emissions (million tonnes),
1983,South Asia,433.7419,Total fossil CO2 emissions (million tonnes),
1984,South Asia,471.2794,Total fossil CO2 emissions (million tonnes),
1985,South Asia,496.1699,Total fossil CO2 emissions (million tonnes),
1986,South Asia,528.6747,Total fossil CO2 emissions (million tonnes),
1987,South Asia,571.4487,Total fossil CO2 emissions (million tonnes),
1988,South Asia,605.6464,Total fossil CO2 emissions (million tonnes),
1989,South Asia,645.8943,Total fossil CO2 emissions (million tonnes),
1990,South Asia,681.0961,Total fossil CO2 emissions (million tonnes),
1991,South Asia,727.3574,Total fossil CO2 emissions (million tonnes),
1992,South Asia,758.7343,Total fossil CO2 emissions (million tonnes),
1993,South Asia,796.9768,Total fossil CO2 emissions (million tonnes),
1994,South Asia,845.5844,Total fossil CO2 emissions (million tonnes),
1995,South Asia,910.7466,Total fossil CO2 emissions (million tonnes),
1996,South Asia,953.8079,Total fossil CO2 emissions (million tonnes),
1997,South Asia,1000.768,Total fossil CO2 emissions (million tonnes),
1998,South Asia,1017.962,Total fossil CO2 emissions (million tonnes),
1999,South Asia,1099.01,Total fossil CO2 emissions (million tonnes),
2000,South Asia,1137.798,Total fossil CO2 emissions (million tonnes),
2001,South Asia,1161.255,Total fossil CO2 emissions (million tonnes),
2002,South Asia,1202.897,Total fossil CO2 emissions (million tonnes),
2003,South Asia,1234.737,Total fossil CO2 emissions (million tonnes),
2004,South Asia,1339.481,Total fossil CO2 emissions (million tonnes),
2005,South Asia,1399.725,Total fossil CO2 emissions (million tonnes),
2006,South Asia,1491.736,Total fossil CO2 emissions (million tonnes),
2007,South Asia,1622.317,Total fossil CO2 emissions (million tonnes),
2008,South Asia,1712.3,Total fossil CO2 emissions (million tonnes),
2009,South Asia,1895.14,Total fossil CO2 emissions (million tonnes),
2010,South Asia,1985.935,Total fossil CO2 emissions (million tonnes),
2011,South Asia,2092.507,Total fossil CO2 emissions (million tonnes),
2012,South Asia,2241.43,Total fossil CO2 emissions (million tonnes),
2013,South Asia,2287.339,Total fossil CO2 emissions (million tonnes),
2014,South Asia,2490.923,Total fossil CO2 emissions (million tonnes),
2015,South Asia,2574.899,Total fossil CO2 emissions (million tonnes),
2016,South Asia,2674.995,Total fossil CO2 emissions (million tonnes),
2017,South Asia,2768.767,Total fossil CO2 emissions (million tonnes),
2018,South Asia,2958.003,Total fossil CO2 emissions (million tonnes),
1970,Middle East and North Africa,356.7005,Total fossil CO2 emissions (million tonnes),
1971,Middle East and North Africa,381.02,Total fossil CO2 emissions (million tonnes),
1972,Middle East and North Africa,426.8178,Total fossil CO2 emissions (million tonnes),
1973,Middle East and North Africa,495.0857,Total fossil CO2 emissions (million tonnes),
1974,Middle East and North Africa,495.5537,Total fossil CO2 emissions (million tonnes),
1975,Middle East and North Africa,500.4762,Total fossil CO2 emissions (million tonnes),
1976,Middle East and North Africa,584.617,Total fossil CO2 emissions (million tonnes),
1977,Middle East and North Africa,605.9611,Total fossil CO2 emissions (million tonnes),
1978,Middle East and North Africa,636.1485,Total fossil CO2 emissions (million tonnes),
1979,Middle East and North Africa,660.3726,Total fossil CO2 emissions (million tonnes),
1980,Middle East and North Africa,671.467,Total fossil CO2 emissions (million tonnes),
1981,Middle East and North Africa,638.4915,Total fossil CO2 emissions (million tonnes),
1982,Middle East and North Africa,684.5847,Total fossil CO2 emissions (million tonnes),
1983,Middle East and North Africa,723.6022,Total fossil CO2 emissions (million tonnes),
1984,Middle East and North Africa,716.0331,Total fossil CO2 emissions (million tonnes),
1985,Middle East and North Africa,752.683,Total fossil CO2 emissions (million tonnes),
1986,Middle East and North Africa,769.9768,Total fossil CO2 emissions (million tonnes),
1987,Middle East and North Africa,807.583,Total fossil CO2 emissions (million tonnes),
1988,Middle East and North Africa,843.794,Total fossil CO2 emissions (million tonnes),
1989,Middle East and North Africa,896.3146,Total fossil CO2 emissions (million tonnes),
1990,Middle East and North Africa,908.4785,Total fossil CO2 emissions (million tonnes),
1991,Middle East and North Africa,951.0458,Total fossil CO2 emissions (million tonnes),
1992,Middle East and North Africa,1009.433,Total fossil CO2 emissions (million tonnes),
1993,Middle East and North Africa,1068.113,Total fossil CO2 emissions (million tonnes),
1994,Middle East and North Africa,1152.972,Total fossil CO2 emissions (million tonnes),
1995,Middle East and North Africa,1183.705,Total fossil CO2 emissions (million tonnes),
1996,Middle East and North Africa,1227.772,Total fossil CO2 emissions (million tonnes),
1997,Middle East and North Africa,1283.545,Total fossil CO2 emissions (million tonnes),
1998,Middle East and North Africa,1282.761,Total fossil CO2 emissions (million tonnes),
1999,Middle East and North Africa,1331.494,Total fossil CO2 emissions (million tonnes),
2000,Middle East and North Africa,1390.134,Total fossil CO2 emissions (million tonnes),
2001,Middle East and North Africa,1465.067,Total fossil CO2 emissions (million tonnes),
2002,Middle East and North Africa,1519.18,Total fossil CO2 emissions (million tonnes),
2003,Middle East and North Africa,1575.737,Total fossil CO2 emissions (million tonnes),
2004,Middle East and North Africa,1662.668,Total fossil CO2 emissions (million tonnes),
2005,Middle East and North Africa,1777.627,Total fossil CO2 emissions (million tonnes),
2006,Middle East and North Africa,1876.296,Total fossil CO2 emissions (million tonnes),
2007,Middle East and North Africa,1962.039,Total fossil CO2 emissions (million tonnes),
2008,Middle East and North Africa,2072.382,Total fossil CO2 emissions (million tonnes),
2009,Middle East and North Africa,2169.155,Total fossil CO2 emissions (million tonnes),
2010,Middle East and North Africa,2259.674,Total fossil CO2 emissions (million tonnes),
2011,Middle East and North Africa,2308.532,Total fossil CO2 emissions (million tonnes),
2012,Middle East and North Africa,2421.625,Total fossil CO2 emissions (million tonnes),
2013,Middle East and North Africa,2484.835,Total fossil CO2 emissions (million tonnes),
2014,Middle East and North Africa,2573.873,Total fossil CO2 emissions (million tonnes),
2015,Middle East and North Africa,2602.705,Total fossil CO2 emissions (million tonnes),
2016,Middle East and North Africa,2675.63,Total fossil CO2 emissions (million tonnes),
2017,Middle East and North Africa,2748.088,Total fossil CO2 emissions (million tonnes),
2018,Middle East and North Africa,2813.353,Total fossil CO2 emissions (million tonnes),
1970,Sub Saharan Africa,0.9151738,Per capita emissions (tonnes),
1971,Sub Saharan Africa,0.9367754,Per capita emissions (tonnes),
1972,Sub Saharan Africa,0.9831753,Per capita emissions (tonnes),
1973,Sub Saharan Africa,1.091057,Per capita emissions (tonnes),
1974,Sub Saharan Africa,1.150727,Per capita emissions (tonnes),
1975,Sub Saharan Africa,1.087005,Per capita emissions (tonnes),
1976,Sub Saharan Africa,1.130321,Per capita emissions (tonnes),
1977,Sub Saharan Africa,1.071596,Per capita emissions (tonnes),
1978,Sub Saharan Africa,0.996109,Per capita emissions (tonnes),
1979,Sub Saharan Africa,1.066293,Per capita emissions (tonnes),
1980,Sub Saharan Africa,1.054721,Per capita emissions (tonnes),
1981,Sub Saharan Africa,1.013636,Per capita emissions (tonnes),
1982,Sub Saharan Africa,0.9857616,Per capita emissions (tonnes),
1983,Sub Saharan Africa,0.9700274,Per capita emissions (tonnes),
1984,Sub Saharan Africa,0.988379,Per capita emissions (tonnes),
1985,Sub Saharan Africa,0.9893323,Per capita emissions (tonnes),
1986,Sub Saharan Africa,0.9592515,Per capita emissions (tonnes),
1987,Sub Saharan Africa,0.9715667,Per capita emissions (tonnes),
1988,Sub Saharan Africa,0.973476,Per capita emissions (tonnes),
1989,Sub Saharan Africa,0.950313,Per capita emissions (tonnes),
1990,Sub Saharan Africa,0.9338344,Per capita emissions (tonnes),
1991,Sub Saharan Africa,0.9048837,Per capita emissions (tonnes),
1992,Sub Saharan Africa,0.8845519,Per capita emissions (tonnes),
1993,Sub Saharan Africa,0.8568689,Per capita emissions (tonnes),
1994,Sub Saharan Africa,0.8499883,Per capita emissions (tonnes),
1995,Sub Saharan Africa,0.8783587,Per capita emissions (tonnes),
1996,Sub Saharan Africa,0.9106613,Per capita emissions (tonnes),
1997,Sub Saharan Africa,0.9162186,Per capita emissions (tonnes),
1998,Sub Saharan Africa,0.893755,Per capita emissions (tonnes),
1999,Sub Saharan Africa,0.8527267,Per capita emissions (tonnes),
2000,Sub Saharan Africa,0.8537974,Per capita emissions (tonnes),
2001,Sub Saharan Africa,0.859876,Per capita emissions (tonnes),
2002,Sub Saharan Africa,0.841367,Per capita emissions (tonnes),
2003,Sub Saharan Africa,0.8674033,Per capita emissions (tonnes),
2004,Sub Saharan Africa,0.8874819,Per capita emissions (tonnes),
2005,Sub Saharan Africa,0.8846858,Per capita emissions (tonnes),
2006,Sub Saharan Africa,0.862411,Per capita emissions (tonnes),
2007,Sub Saharan Africa,0.8619645,Per capita emissions (tonnes),
2008,Sub Saharan Africa,0.8919051,Per capita emissions (tonnes),
2009,Sub Saharan Africa,0.8277082,Per capita emissions (tonnes),
2010,Sub Saharan Africa,0.8476005,Per capita emissions (tonnes),
