Series,Dataset,Title,SubTitle,SubTitle2,Type,Colour,startDate,frequency,pageLink,articlesECO,dataLink,dataType,rank,mark,order,API_base,API_full
G7GI,PSE,Teachers,Employment - thousands,,Public Sector,darkviolet,1999,quarters,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/publicsectorpersonnel/timeseries/g7gi/pse,https://www.economicsobservatory.com/how-best-should-school-resources-be-deployed-response-covid-19-crisis,,json,3,line,20,https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/G7GI/dataset/PSE/data
XYZ,XYZ,Marriages,Per thousand population,,Society,darkviolet,1800,annual,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/marriagecohabitationandcivilpartnerships/datasets/marriagesinenglandandwales2013,,https://raw.githubusercontent.com/RDeconomist/RDeconomist.github.io/main/data/uk/data_UK_MarriageRate.csv,csv,3,line,21,https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/XYZ/dataset/XYZ/data
XYZ,XYZ,Divorces,Per thousand - male,,Society,darkviolet,1950,annual,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/divorce/datasets/divorcesinenglandandwales,,https://raw.githubusercontent.com/RDeconomist/RDeconomist.github.io/main/data/uk/data_UK_DivorceRate.csv,csv,3,line,22,https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/XYZ/dataset/XYZ/data
GMAX,OTT,Holidays,UK visits abroad - thousand,,Consumption,darkviolet,1986,years,https://www.ons.gov.uk/peoplepopulationandcommunity/leisureandtourism/timeseries/gmax/ott,https://www.economicsobservatory.com/update-how-is-covid-19-affecting-international-travel-and-tourism,,json,4,line,23,https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/GMAX/dataset/OTT/data
GMAA,OTT,Tourists,Foreign visitors to UK - thousand,,Consumption,darkviolet,1986,years,https://www.ons.gov.uk/peoplepopulationandcommunity/leisureandtourism/timeseries/gmaa/ott,https://www.economicsobservatory.com/update-how-is-covid-19-affecting-international-travel-and-tourism,,json,4,line,24,https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/GMAA/dataset/OTT/data
YBEU,QNA,GDP index,Market prices,Index 2019=100,Headline,darkviolet,1980,quarters,https://www.ons.gov.uk/economy/grossdomesticproductgdp/timeseries/ybeu/qna,https://www.economicsobservatory.com/what-can-the-latest-uk-gdp-data-tell-us-about-the-economy,,json,5,line,,,
YBEZ,QNA,GDP index - volume,Volume measure,Index 2019=100,Headline,darkviolet,1980,quarters,https://www.ons.gov.uk/economy/grossdomesticproductgdp/timeseries/ybez/qna,https://www.economicsobservatory.com/what-can-the-latest-uk-gdp-data-tell-us-about-the-economy,,json,5,line,,,
YBHA,QNA,GDP,Market prices,GBP million,Headline,darkviolet,1980,quarters,https://www.ons.gov.uk/economy/grossdomesticproductgdp/timeseries/ybha/qna,https://www.economicsobservatory.com/what-can-the-latest-uk-gdp-data-tell-us-about-the-economy,,json,5,line,,,
ABMI,QNA,GDP - volume,Volume measure,GBP million,Headline,darkviolet,1980,quarters,https://www.ons.gov.uk/economy/grossdomesticproductgdp/timeseries/abmi/qna,https://www.economicsobservatory.com/what-can-the-latest-uk-gdp-data-tell-us-about-the-economy,,json,5,line,,,
IHYO,QNA,GDP growth,Market prices,y-o-y growth,Headline,darkviolet,1980,quarters,https://www.ons.gov.uk/economy/grossdomesticproductgdp/timeseries/ihyo/qna,https://www.economicsobservatory.com/what-do-the-latest-uk-data-reveal-about-regional-gdp,,json,5,line,,,
JW2V,PUSF,Deficit,PS current budget deficit,% of GDP,Headline,darkviolet,2000,quarters,https://www.ons.gov.uk/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/jw2v/pusf,https://www.economicsobservatory.com/which-taxes-might-help-to-restore-sustainability-of-the-public-finances,,json,5,line,,,
HF6X,PUSF,Debt,PSND Ex banks,GBP million,Headline,darkviolet,2000,quarters,https://www.ons.gov.uk/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/hf6x/pusf,https://www.economicsobservatory.com/should-government-be-planning-tax-rises-and-public-spending-cuts,,json,5,line,,,
CPOA,PUSF,Debt,PSND Ex BoE and banks,GBP million,Headline,darkviolet,2000,quarters,https://www.ons.gov.uk/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/cpoa/pusf,https://www.economicsobservatory.com/should-government-be-planning-tax-rises-and-public-spending-cuts,,json,5,line,,,
ANBV,PUSF,Income,Total current receipts,GBP million,Headline,darkviolet,2000,quarters,https://www.ons.gov.uk/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/anbv/pusf,https://www.economicsobservatory.com/should-government-be-planning-tax-rises-and-public-spending-cuts,,json,5,line,,,
ANLP,PUSF,Spending,Total current expenditure,GBP million,Headline,darkviolet,2000,quarters,https://www.ons.gov.uk/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/anlp/pusf,https://www.economicsobservatory.com/what-can-happen-when-economic-policy-makers-lose-credibility,,json,5,line,,,
MF6R,PUSF,Income,Total revenue,GBP million,Income,darkviolet,2000,quarters,https://www.ons.gov.uk/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/mf6r/pusf,https://www.economicsobservatory.com/what-can-happen-when-economic-policy-makers-lose-credibility,,json,5,line,,,
MF6U,PUSF,Spending,Total expenditure,GBP million,Income,darkviolet,2000,quarters,https://www.ons.gov.uk/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/mf6u/pusf,https://www.economicsobservatory.com/should-government-be-planning-tax-rises-and-public-spending-cuts,,json,5,line,,,
NMBY,PUSF,Taxes,Taxes on production,GBP million,Income,darkviolet,2000,quarters,https://www.ons.gov.uk/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/nmby/pusf,https://www.economicsobservatory.com/should-government-be-planning-tax-rises-and-public-spending-cuts,,json,5,line,,,
NZGF,PUSF,VAT,Of which VAT,GBP million,Income,darkviolet,2000,quarters,https://www.ons.gov.uk/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/nzgf/pusf,https://www.economicsobservatory.com/do-we-have-to-choose-between-health-and-the-economy,,json,5,line,,,
LIBR,PUSF,Income Tax,Income and capital gains,GBP million,Income,darkviolet,2000,quarters,https://www.ons.gov.uk/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/libr/pusf,https://www.economicsobservatory.com/who-has-financed-higher-government-spending-during-pandemic,,json,5,line,,,
LIBP,PUSF,Income and CG,Other income and capital gains,GBP million,Income,darkviolet,2000,quarters,https://www.ons.gov.uk/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/libp/pusf,https://www.economicsobservatory.com/do-we-have-to-choose-between-health-and-the-economy,,json,5,line,,,
AIIH,PUSF,NI payments,Compulsory SS contirbutions,GBP million,Income,darkviolet,2000,quarters,https://www.ons.gov.uk/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/aiih/pusf,https://www.economicsobservatory.com/what-can-happen-when-economic-policy-makers-lose-credibility,,json,5,line,,,
NMFX,PUSF,Interest payments,Interest,GBP million,Spending,darkviolet,2000,quarters,https://www.ons.gov.uk/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/nmfx/pusf,https://www.economicsobservatory.com/what-can-happen-when-economic-policy-makers-lose-credibility,,json,5,line,,,
GZSJ,PUSF,Benefits,Net Social Benefits,GBP million,Spending,darkviolet,2000,quarters,https://www.ons.gov.uk/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/gzsj/pusf,https://www.economicsobservatory.com/which-taxes-might-help-to-restore-sustainability-of-the-public-finances,,json,5,line,,,
LIQS,PUSF,Other,Other,GBP million,Spending,darkviolet,2000,quarters,https://www.ons.gov.uk/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/liqs/pusf,https://www.economicsobservatory.com/who-has-financed-higher-government-spending-during-pandemic,,json,5,line,,,
ANLP,PUSF,Total,Total,GBP million,Spending,darkviolet,2000,quarters,https://www.ons.gov.uk/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/anlp/pusf,https://www.economicsobservatory.com/could-national-investment-bank-support-recovery-covid-19-crisis,,json,5,line,,,
ANNS,PUSF,Investment,Net investment,GBP million,capEx,darkviolet,2000,quarters,https://www.ons.gov.uk/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/anns/pusf,https://www.economicsobservatory.com/could-national-investment-bank-support-recovery-covid-19-crisis,,json,5,line,,,
NSRN,PUSF,Depreciation,Depreciation,GBP million,capEx,darkviolet,2000,quarters,https://www.ons.gov.uk/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/nsrn/pusf,https://www.economicsobservatory.com/sterling-crisis-what-are-the-historical-precedents,,json,5,line,,,
MF6T,PUSF,Total,Total,GBP million,capEx,darkviolet,2000,quarters,https://www.ons.gov.uk/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/mf6t/pusf,https://www.economicsobservatory.com/who-has-financed-higher-government-spending-during-pandemic,,json,5,line,,,
GMBB,OTT,Holiday spending,UK spending abroad,GBP million,Consumption,darkviolet,1986,years,https://www.ons.gov.uk/peoplepopulationandcommunity/leisureandtourism/timeseries/gmbb/ott,https://www.economicsobservatory.com/update-how-is-covid-19-affecting-international-travel-and-tourism,,json,5,line,,,
GMAZ,OTT,Tourist spending,Overseas visitor spending,GBP million,Consumption,darkviolet,1986,years,https://www.ons.gov.uk/peoplepopulationandcommunity/leisureandtourism/timeseries/gmaz/ott,https://www.economicsobservatory.com/update-how-is-covid-19-affecting-international-travel-and-tourism,,json,5,line,,,
A8EJ,BERD,R&D spending,UK business spending,% GDP,Investment,darkviolet,1987,years,https://www.ons.gov.uk/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure/timeseries/a8ej/berd,https://www.economicsobservatory.com/what-does-the-rd-response-to-covid-19-tell-us-about-innovation,,json,5,line,,,
BEIU,LMS,Redundancies - men,UK level,Thousands,Labour market,darkviolet,1995,quarters,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/redundancies/timeseries/beiu/lms,https://www.economicsobservatory.com/how-has-the-uk-labour-market-fared-in-recessions-and-recoveries-since-1870,,json,5,line,,,
BEJA,LMS,Redundancies - women,UK level,Thousands,Labour market,darkviolet,1996,quarters,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/redundancies/timeseries/beja/lms,https://www.economicsobservatory.com/how-has-the-uk-labour-market-fared-in-recessions-and-recoveries-since-1871,,json,5,line,,,
JWW4,LMS,Redundancies - state,Admin/education/health,Thousands,Labour market,darkviolet,2006,quarters,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/redundancies/timeseries/beao/lms,https://www.economicsobservatory.com/how-has-the-uk-labour-market-fared-in-recessions-and-recoveries-since-1873,,json,5,line,,,
LWZI,LMS,Burnout risk - women,45+ hours weekly work,% of employees,Labour market,darkviolet,1992,quarters,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/timeseries/lwzi/lms,https://www.economicsobservatory.com/coronavirus-careers-and-mental-health-what-are-links,,json,5,line,,,
LWZW,LMS,Burnout risk - men,45+ hours weekly work,% of employees,Labour market,darkviolet,1992,quarters,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/timeseries/lwzw/lms,https://www.economicsobservatory.com/coronavirus-careers-and-mental-health-what-are-links,,json,5,line,,,
ABML,QNA,Productivity,Gross Value Added (GVA),GBP million,Headline,darkviolet,1955,quarters,https://www.ons.gov.uk/economy/grossvalueaddedgva/timeseries/abml/qna,https://www.economicsobservatory.com/what-may-happen-to-firm-level-productivity-in-the-uk-after-covid-19,,json,5,line,,,
