name,count,year,company,process,area,density,source
"AMD K6 (32-bit, caches)",8800000,1997,AMD,350 nm,162 mm2,54000,
"Pentium II Deschutes (32-bit, large cache)",7500000,1998,Intel,250 nm,113 mm2,66000,
Alpha 21264 EV6 (64-bit),15200000,1998,DEC,350 nm,313.96 mm2,48400,
"Alpha 21164PC PCA57 (64-bit, 48 kB cache)",5700000,1998,Samsung,280 nm,100.5 mm2,56700,
"Pentium III Katmai (32-bit, 128-bit SIMD, caches)",9500000,1999,Intel,250 nm,128 mm2,74000,
"Pentium II Mobile Dixon (32-bit, caches)",27400000,1999,Intel,180 nm,180 mm2,152000,
"Emotion Engine (64-bit, 128-bit SIMD, cache)",13500000,1999,Sony/Toshiba,180 nm[67],240 mm2[68],56300,
"ARM 9TDMI (32-bit, no cache)",111000,1999,Acorn,350 nm,4.8 mm2,23100,
"AMD K7 (32-bit, caches)",22000000,1999,AMD,250 nm,184 mm2,120000,
"AMD K6-III (32-bit, caches)",21300000,1999,AMD,250 nm,118 mm2,181000,
"Pentium III Coppermine (32-bit, large cache)",21000000,2000,Intel,180 nm,80 mm2,263000,
"Pentium 4 Willamette (32-bit, large cache)",42000000,2000,Intel,180 nm,217 mm2,194000,
"Gekko (32-bit, large cache)",21000000,2000,IBM/Nintendo,180 nm,43 mm2,"490,000 (check)",
"SPARC64 V (64-bit, large cache)",191000000,2001,Fujitsu,130 nm[71],290 mm2,659000,
"Pentium III Tualatin (32-bit, large cache)",45000000,2001,Intel,130 nm,81 mm2,556000,
"Pentium 4 Northwood (32-bit, large cache)",55000000,2002,Intel,130 nm,145 mm2,379000,
"Itanium 2 McKinley (64-bit, large cache)",220000000,2002,Intel,180 nm,421 mm2,523000,
Pentium M Banias (32-bit),77000000,2003,Intel,130 nm,83 mm2,928000,
Itanium 2 Madison 6M (64-bit),410000000,2003,Intel,130 nm,374 mm2,1096000,
"DEC Alpha 21364 (64-bit, 946-pin, SIMD, very large caches)",152000000,2003,DEC,180 nm,397 mm2,383000,
"Barton (32-bit, large cache)",54300000,2003,AMD,130 nm,101 mm2,538000,
"AMD K8 (64-bit, large cache)",105900000,2003,AMD,130 nm,193 mm2,548700,
"SPARC64 V+ (64-bit, large cache)",400000000,2004,Fujitsu,90 nm,294 mm2,1360000,
Pentium M Dothan (32-bit),144000000,2004,Intel,90 nm,87 mm2,1655000,
"Pentium 4 Prescott (32-bit, large cache)",112000000,2004,Intel,90 nm,110 mm2,1018000,
Itanium 2 (64-bit;9 MB cache),592000000,2004,Intel,130 nm,432 mm2,1370000,
"Xenon (64-bit, 128-bit SIMD, large cache)",165000000,2005,IBM,90 nm,?,?,
"Pentium D Smithfield (64-bit, large cache)",228000000,2005,Intel,90 nm,206 mm2,1107000,
"Pentium 4 Prescott-2M (32-bit, large cache)",169000000,2005,Intel,90 nm,143 mm2,1182000,
"Cell (32-bit, cache)",250000000,2005,Sony/IBM/Toshiba,90 nm,221 mm2,1131000,
"Pentium D Presler (64-bit, large cache)",362000000,2006,Intel,65 nm,162 mm2,2235000,
"Pentium 4 Cedar Mill (32-bit, large cache)",184000000,2006,Intel,65 nm,90 mm2,2044000,
"Dual-core Itanium 2 (64-bit, SIMD, large caches)",1700000000,2006,Intel,90 nm,596 mm2,2852000,
"Core 2 Duo Conroe (dual-core 64-bit, large caches)",291000000,2006,Intel,65 nm,143 mm2,2035000,
Uniphier,250000000,2007,Matsushita,45 nm,?,?,
"SPARC64 VI (64-bit, SIMD, large caches)",540000000,2007,Fujitsu,90 nm,421 mm2,1283000,
"POWER6 (64-bit, large caches)",789000000,2007,IBM,65 nm,341 mm2,2314000,
"Core 2 Duo Wolfdale (dual-core 64-bit, SIMD, caches)",411000000,2007,Intel,45 nm,107 mm2,3841000,
"Core 2 Duo Allendale (dual-core 64-bit, SIMD, large caches)",169000000,2007,Intel,65 nm,111 mm2,1523000,
"ARM Cortex-A9 (32-bit, (optional) SIMD, caches)",26000000,2007,ARM,45 nm,31 mm2,839000,
"AMD K10 quad-core 2M L3 (64-bit, large caches)",463000000,2007,AMD,65 nm,283 mm2,1636000,
"SPARC64 VII (64-bit, SIMD, large caches)",600000000,2008,Fujitsu,65 nm,445 mm2,1348000,
"Six-core Xeon 7400 (64-bit, SIMD, large caches)",1900000000,2008,Intel,45 nm,503 mm2,3777000,
"Core i7 (quad-core 64-bit, SIMD, large caches)",731000000,2008,Intel,45 nm,263 mm2,2779000,
"Core 2 Duo Wolfdale 3M (dual-core 64-bit, SIMD, large caches)",230000000,2008,Intel,45 nm,83 mm2,2771000,
"Atom (32-bit, large cache)",47000000,2008,Intel,45 nm,24 mm2,1958000,
"AMD K10 quad-core 6M L3 (64-bit, SIMD, large caches)",758000000,2008,AMD,45 nm,258 mm2,2938000,
"SPARC64 VIIIfx (64-bit, SIMD, large caches)",760000000,2009,Fujitsu,45 nm,513 mm2,1481000,
"Six-core Opteron 2400 (64-bit, SIMD, large caches)",904000000,2009,AMD,45 nm,346 mm2,2613000,
"Xeon Nehalem-EX (8-core 64-bit, SIMD, large caches)",2300000000,2010,Intel,45 nm,684 mm2,3363000,
"SPARC T3 (16-core 64-bit, SIMD, large caches)",1000000000,2010,Sun/Oracle,40 nm,377 mm2,2653000,
Six-core Core i7 (Gulftown),1170000000,2010,Intel,32 nm,240 mm2,4875000,
"Quad-core z196[85] (64-bit, very large caches)",1400000000,2010,IBM,45 nm,512 mm2,2734000,
"Quad-core Itanium Tukwila (64-bit, SIMD, large caches)",2000000000,2010,Intel,65 nm,699 mm2,2861000,
"POWER7 32M L3 (8-core 64-bit, SIMD, large caches)",1200000000,2010,IBM,45 nm,567 mm2,2116000,
"Xeon Westmere-EX (10-core 64-bit, SIMD, large caches)",2600000000,2011,Intel,32 nm,512 mm2,5078000,
"SPARC64 IXfx (64-bit, SIMD, large caches)",1870000000,2011,Fujitsu,40 nm,484 mm2,3864000,
Six-core Core i7/8-core Xeon E5,2270000000,2011,Intel,32 nm,434 mm2,5230000,
"(Sandy Bridge-E/EP) (64-bit, SIMD, large caches)",,,,,,,
"Quad-core + GPU Core i7 (64-bit, SIMD, large caches)",1160000000,2011,Intel,32 nm,216 mm2,5370000,
"Xeon Phi (61-core 32-bit, 512-bit SIMD, caches)",5000000000,2012,Intel,22 nm,720 mm2,6944000,
"SPARC64 X (64-bit, SIMD, caches)",2990000000,2012,Fujitsu,28 nm,600 mm2,4983000,
"Six-core zEC12 (64-bit, SIMD, large caches)",2750000000,2012,IBM,32 nm,597 mm2,4606000,
"Quad-core + GPU Core i7 Ivy Bridge (64-bit, SIMD, caches)",1400000000,2012,Intel,22 nm,160 mm2,8750000,
"Quad-core + GPU AMD Trinity (64-bit, SIMD, caches)",1303000000,2012,AMD,32 nm,246 mm2,5297000,
"POWER7+ (8-core 64-bit, SIMD, 80 MB L3 cache)",2100000000,2012,IBM,32 nm,567 mm2,3704000,
"Itanium Poulson (8-core 64-bit, SIMD, caches)",3100000000,2012,Intel,32 nm,544 mm2,5699000,
"Atom ""Medfield"" (64-bit)",432000000,2012,Intel,32 nm,64 mm2,6750000,
"AMD Bulldozer (8-core 64-bit, SIMD, caches)",1200000000,2012,AMD,32 nm,315 mm2,3810000,
"Xbox One main SoC (64-bit, SIMD, caches)",5000000000,2013,Microsoft/AMD,28 nm,363 mm2,13770000,
"Six-core Core i7 Ivy Bridge E (64-bit, SIMD, caches)",1860000000,2013,Intel,22 nm,256 mm2,7266000,
"POWER8 (12-core 64-bit, SIMD, caches)",4200000000,2013,IBM,22 nm,650 mm2,6462000,
"Apple A7 (dual-core 64/32-bit ARM64, ""mobile SoC"", SIMD, caches)",1000000000,2013,Apple,28 nm,102 mm2,9804000,
"Xeon Ivy Bridge-EX (15-core 64-bit, SIMD, caches)",4310000000,2014,Intel,22 nm,541 mm2,7967000,
"Xeon Haswell-E5 (18-core 64-bit, SIMD, caches)",5560000000,2014,Intel,22 nm,661 mm2,8411000,
"Quad-core + GPU Core i7 Haswell (64-bit, SIMD, caches)",1400000000,2014,Intel,22 nm,177 mm2,7910000,
"Core i7 Haswell-E (8-core 64-bit, SIMD, caches)",2600000000,2014,Intel,22 nm,355 mm2,7324000,
"Apple A8X (tri-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",3000000000,2014,Apple,20 nm,128 mm2,23440000,
"Apple A8 (dual-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2000000000,2014,Apple,20 nm,89 mm2,22470000,
"SPARC M7 (32-core 64-bit, SIMD, caches)",10000000000,2015,Oracle,20 nm,?,?,
"Quad-core + GPU GT2 Core i7 Skylake K (64-bit, SIMD, caches)",1750000000,2015,Intel,14 nm,122 mm2,14340000,
IBM z13 Storage Controller,7100000000,2015,IBM,22 nm,678 mm2,10472000,
"IBM z13 (64-bit, caches)",3990000000,2015,IBM,22 nm,678 mm2,5885000,
"Dual-core + GPU Iris Core i7 Broadwell-U (64-bit, SIMD, caches)",1900000000,2015,Intel,14 nm,133 mm2,14290000,
"Apple A9X (dual core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",3000000000,2015,Apple,16 nm,143.9 mm2,"20,800,000+",
"Apple A9 (dual-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2000000000,2015,Apple,14 nm,96 mm2,"20,800,000+",
,,,,(Samsung),(Samsung),,
"Apple A9 (dual-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2000000000,2015,Apple,16 nm,104.5 mm2,"19,100,000+",
,,,,(TSMC),(TSMC),,
"Xeon Phi (72-core 64-bit, 512-bit SIMD, caches)",8000000000,2016,Intel,14 nm,683 mm2,11710000,
"Xeon Broadwell-E5 (22-core 64-bit, SIMD, caches)",7200000000,2016,Intel,14 nm,456 mm2,15790000,
"Qualcomm Snapdragon 835 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",3000000000,2016,Qualcomm,10 nm,72.3 mm2,41490000,
"HiSilicon Kirin 960 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",4000000000,2016,Huawei,16 nm,110.00 mm2,36360000,
"Core i7 Broadwell-E (10-core 64-bit, SIMD, caches)",3200000000,2016,Intel,14 nm,246 mm2[104],13010000,
"Apple A10 Fusion (quad-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",3300000000,2016,Apple,16 nm,125 mm2,26400000,
"Zeppelin SoC Ryzen (64-bit, SIMD, caches)",4800000000,2017,AMD,14 nm,192 mm2,25000000,
"Zen CCX (core complex unit: 4 cores, 8 MB L3 cache)",1400000000,2017,AMD,14 nm (GF 14LPP),44 mm²,31800000,
"Xeon Platinum 8180 (28-core 64-bit, SIMD, caches)",8000000000,2017,Intel,14 nm,?,?,
Xeon (unspecified),7100000000,2017,Intel,14 nm,672 mm²,10570000,
"Xbox One X (Project Scorpio) main SoC (64-bit, SIMD, caches)",7000000000,2017,Microsoft/AMD,16 nm,360 mm2[114],19440000,
"SPARC64 XII (12-core 64-bit, SIMD, caches)",5450000000,2017,Fujitsu,20 nm,795 mm2,6850000,
"Ryzen 5 1600 Ryzen (64-bit, SIMD, caches)",4800000000,2017,AMD,14 nm,213 mm2,22530000,
"Qualcomm Snapdragon 850 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",5300000000,2017,Qualcomm,10 nm,94 mm2,56400000,
"Qualcomm Snapdragon 845 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",5300000000,2017,Qualcomm,10 nm,94 mm2,56400000,
"POWER9 (64-bit, SIMD, caches)",8000000000,2017,IBM,14 nm,695 mm2,11500000,
IBM z14 Storage Controller (64-bit),9700000000,2017,IBM,14 nm,696 mm2,13940000,
"IBM z14 (64-bit, SIMD, caches)",6100000000,2017,IBM,14 nm,696 mm2,8764000,
"HiSilicon Kirin 970 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",5500000000,2017,Huawei,10 nm,96.72 mm2,56900000,
"Freedom U500 Base Platform Chip (E51, 4×U54) RISC-V (64-bit, caches)",250000000,2017,SiFive,28 nm,~30 mm2,8330000,
"Centriq 2400 (64/32-bit, SIMD, caches)",18000000000,2017,Qualcomm,10 nm,398 mm2,45200000,
"Apple A11 Bionic (hexa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",4300000000,2017,Apple,10 nm,89.23 mm2,48190000,
"Apple A10X Fusion (hexa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",4300000000,2017,Apple,10 nm,96.40 mm2,44600000,
"AMD Epyc (32-core 64-bit, SIMD, caches)",19200000000,2017,AMD,14 nm,768 mm2,25000000,
Tegra Xavier SoC (64/32-bit),9000000000,2018,Nvidia,12 nm,350 mm2,25700000,
"Qualcomm Snapdragon 8cx / SCX8180 (octa-core ARM64 ""mobile SoC"", SIMD, caches)",8500000000,2018,Qualcomm,7 nm,112 mm2,75900000,
"HiSilicon Kirin 980 (octa-core ARM64 ""mobile SoC"", SIMD, caches)",6900000000,2018,Huawei,7 nm,74.13 mm2,93100000,
"HiSilicon Kirin 710 (octa-core ARM64 ""mobile SoC"", SIMD, caches)",5500000000,2018,Huawei,12 nm,?,?,
"Fujitsu A64FX (64/32-bit, SIMD, caches)",8786000000,2018,Fujitsu,7 nm,?,?,
"Apple A12X Bionic (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",10000000000,2018,Apple,7 nm,122 mm2,82000000,
"Apple A12 Bionic (hexa-core ARM64 ""mobile SoC"", SIMD, caches)",6900000000,2018,Apple,7 nm,83.27 mm2,82900000,
Zen 2 server I/O die,8340000000,2019,AMD,12 nm,416 mm²,20050000,
Zen 2 Renoir die,9800000000,2019,AMD,7 nm,156 mm²,62820000,
Zen 2 core (0.5 MB L2 + 4 MB L3 cache),475000000,2019,AMD,7 nm,7.83 mm²,60664000,
Zen 2 client I/O die,2090000000,2019,AMD,12 nm,125 mm²,16720000,
"Zen 2 CCX (core complex: 4 cores, 16 MB L3 cache)",1900000000,2019,AMD,7 nm,31.32 mm²,60664000,
"Zen 2 CCD (core complex die: 8 cores, 32 MB L3 cache)",3800000000,2019,AMD,7 nm,74 mm²,51350000,
"Qualcomm Snapdragon 855 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",6700000000,2019,Qualcomm,7 nm,73 mm²,91800000,
IBM z15 SC chip (960 MB L4 cache),12200000000,2019,IBM,14 nm,696 mm2,17530000,
"IBM z15 CP chip (12 cores, 256 MB L3 cache)",9200000000,2019,IBM,14 nm,696 mm2,13220000,
HiSilicon Kirin 990 5G,10300000000,2019,Huawei,7 nm,113.31 mm2,90900000,
HiSilicon Kirin 990 4G,8000000000,2019,Huawei,7 nm,90.00 mm2,89000000,
"AWS Graviton2 (64-bit, 64-core ARM-based, SIMD, caches)[142][143]",30000000000,2019,Amazon,7 nm,?,?,
"Apple A13 (hexa-core 64-bit ARM64 ""mobile SoC"", SIMD, caches)",8500000000,2019,Apple,7 nm,98.48 mm2,86300000,
"AMD Ryzen 9 3900X (64-bit, SIMD, caches, I/O die)",9890000000,2019,AMD,7 & 12 nm (TSMC),273 mm2,36230000,
"AMD Ryzen 7 3700X (64-bit, SIMD, caches, I/O die)",5990000000,2019,AMD,7 & 12 nm (TSMC),199 (74+125) mm2,30100000,
"AMD Epyc Rome (64-bit, SIMD, caches)",39540000000,2019,AMD,7 & 12 nm (TSMC),"1,008 mm2",39226000,
"Zen 3 CCX (core complex unit: 8 cores, 32 MB L3 cache)",4080000000,2020,AMD,7 nm,68 mm²,60000000,
Zen 3 CCD (core complex die),4150000000,2020,AMD,7 nm,81 mm²,51230000,
"TI Jacinto TDA4VM (ARM A72, DSP, SRAM)",3500000000,2020,Texas Instruments,16 nm,?,?,
"Qualcomm Snapdragon 865 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",10300000000,2020,Qualcomm,7 nm,83.54 mm2[128],123300000,
HiSilicon Kirin 9000,15300000000,2020,Huawei,5 nm,114 mm2,134200000,
"Apple M1 (octa-core 64-bit ARM64 SoC, SIMD, caches)",16000000000,2020,Apple,5 nm,119 mm2,134500000,
"Apple A14 Bionic (hexa-core 64-bit ARM64 ""mobile SoC"", SIMD, caches)",11800000000,2020,Apple,5 nm,88 mm2,134100000,
Power10 dual-chip module (30 SMT8 cores or 60 SMT4 cores),36000000000,2021,IBM,7 nm,"1,204 mm2",29900000,
Dimensity 9000 (ARM64 SoC),15300000000,2021,Mediatek,4 nm (TSMC N4),?,?,
"Apple M1 Pro (10-core, 64-bit)",33700000000,2021,Apple,5 nm,245 mm2[155],137600000,
"Apple M1 Max (10-core, 64-bit)",57000000000,2021,Apple,5 nm,420.2 mm2[157],135600000,
Apple A15,15000000000,2021,Apple,5 nm,107.68 mm2,139300000,
"AMD Ryzen 7 5800H (64-bit, SIMD, caches, I/O and GPU)",10700000000,2021,AMD,7 nm,180 mm2,59440000,
"IBM Telum dual-chip module (2×8 cores, 2×256 MB cache)",45000000000,2022,IBM,7 nm (Samsung),"1,060 mm2",42450000,
EPYC Genoa (4th gen/9004 series) 13-chip module (up to 96 cores and 384 MB (L3) + 96 MB (L2) cache)[171],90000000000,2022,AMD,5 nm 6 nm,?,?,
Dimensity 9200 (ARM64 SoC),17000000000,2022,Mediatek,4 nm (TSMC N4P),?,?,
"Apple M2 (deca-core 64-bit ARM64 SoC, SIMD, caches)",20000000000,2022,Apple,5 nm,?,?,
"Apple M1 Ultra (dual-chip module, 2×10 cores)",1.14E+11,2022,Apple,5 nm,840.5 mm2[157],135600000,
Apple A16 (ARM64 SoC),16000000000,2022,Apple,4 nm,?,?,
"AMD Epyc 7773X (Milan-X) (multi-chip module, 64 cores, 768 MB L3 cache)",26000000000,2022,AMD,7 & 12 nm (TSMC),"1,352 mm2 (Milan + 8×36)[161]",?,
Sapphire Rapids quad-chip module (up to 60 cores and 112.5 MB of cache)[175],44000000000,2023,Intel,Intel 7 (10 nm ESF),"1,600 mm2","27,500,000–",
,,,,,,30000000,
"Apple M2 Pro (12-core 64-bit ARM64 SoC, SIMD, caches)",40000000000,2023,Apple,5 nm,?,?,
"Apple M2 Max (12-core 64-bit ARM64 SoC, SIMD, caches)",67000000000,2023,Apple,5 nm,?,?,
