year,riskFreeRate,discountFactor,bond1,bond2,bond3,PV_b1,PV_b2,PV_b3,cycles,wages,asset1,asset2,u1,u2,u3
23,0.01,0.795441789,5,2.4,7.6,3.977208943,1.909060293,6.045357594,-0.981940765,9.018059235,4.018059235,5.981940765,5,0,7.6
24,0.01,0.787566127,5,2.2,7.8,3.937830637,1.73264548,6.143015794,-0.06198051,9.93801949,4.93801949,5.06198051,5,0,7.8
25,0.01,0.779768443,5,2,8,3.898842215,1.559536886,6.238147544,0.997803274,10.99780327,5.997803274,4.002196726,5,0,8
26,0.01,0.772047963,5,1.8,8.2,3.860239817,1.389686334,6.3307933,-0.193384667,9.806615333,4.806615333,5.193384667,5,0,8.2
27,0.01,0.764403924,5,1.6,8.4,3.822019621,1.223046279,6.420992963,-0.948310843,9.051689157,4.051689157,5.948310843,5,0,8.4
28,0.01,0.756835568,5,1.4,8.6,3.784177842,1.059569796,6.508785889,0.436083376,10.43608338,5.436083376,4.563916624,5,0,8.6
29,0.01,0.749342147,5,1.2,8.8,3.746710735,0.899210576,6.594210893,0.836705168,10.83670517,5.836705168,4.163294832,5,0,8.8
30,0.01,0.741922918,5,1,9,3.709614589,0.741922918,6.67730626,-0.650219137,9.349780863,4.349780863,5.650219137,5,0,9
0,0.03,1,5,7,3,5,7,3,0,10,5,5,,,
1,0.03,0.970873786,5,6.8,3.2,4.854368932,6.601941748,3.106796117,-0.991778853,9.008221147,4.008221147,5.991778853,,,
2,0.03,0.942595909,5,6.6,3.4,4.712979546,6.221133,3.204826091,0.253823363,10.25382336,5.253823363,4.746176637,,,
3,0.03,0.915141659,5,6.4,3.6,4.575708297,5.85690662,3.294509974,0.926818505,10.92681851,5.926818505,4.073181495,,,
4,0.03,0.888487048,5,6.2,3.8,4.44243524,5.508619697,3.376250782,-0.491021594,9.508978406,4.508978406,5.491021594,,,
5,0.03,0.862608784,5,6,4,4.313043922,5.175652706,3.450435138,-0.801152636,9.198847364,4.198847364,5.801152636,,,
6,0.03,0.837484257,5,5.8,4.2,4.187421283,4.857408689,3.517433878,0.696058488,10.69605849,5.696058488,4.303941512,,,
7,0.03,0.813091511,5,5.6,4.4,4.065457557,4.553312464,3.57760265,0.623012211,10.62301221,5.623012211,4.376987789,,,
8,0.03,0.789409234,5,5.4,4.6,3.947046172,4.262809865,3.631282478,-0.855504371,9.144495629,4.144495629,5.855504371,,,
9,0.03,0.766416732,5,5.2,4.8,3.832083662,3.985367008,3.678800315,-0.404065219,9.595934781,4.595934781,5.404065219,,,
10,0.03,0.744093915,5,5,5,3.720469574,3.720469574,3.720469574,0.958915723,10.95891572,5.958915723,4.041084277,,,
11,0.03,0.722421277,5,4.8,5.2,3.612106383,3.467622128,3.756590638,0.158652431,10.15865243,5.158652431,4.841347569,,,
12,0.03,0.70137988,5,4.6,5.4,3.506899401,3.226347449,3.787451353,-0.999519224,9.000480776,4.000480776,5.999519224,,,
13,0.03,0.68095134,5,4.4,5.6,3.4047567,2.996185896,3.813327504,0.097151904,10.0971519,5.097151904,4.902848096,,,
14,0.03,0.661117806,5,4.2,5.8,3.305589029,2.776694784,3.834483274,0.974655392,10.97465539,5.974655392,4.025344608,,,
15,0.03,0.641861947,5,4,6,3.209309737,2.56744779,3.851171684,-0.346592904,9.653407096,4.653407096,5.346592904,,,
16,0.03,0.623166939,5,3.8,6.2,3.115834696,2.368034369,3.863635023,-0.885952778,9.114047222,4.114047222,5.885952778,,,
17,0.03,0.605016446,5,3.6,6.4,3.025082229,2.178059205,3.872105253,0.573332477,10.57333248,5.573332477,4.426667523,,,
18,0.03,0.587394608,5,3.4,6.6,2.936973038,1.997141666,3.87680441,0.7392213,10.7392213,5.7392213,4.2607787,,,
19,0.03,0.570286027,5,3.2,6.8,2.851430134,1.824915286,3.877944982,-0.762519447,9.237480553,4.237480553,5.762519447,,,
20,0.03,0.553675754,5,3,7,2.768378771,1.661027263,3.875730279,-0.544071696,9.455928304,4.455928304,5.544071696,,,
21,0.03,0.537549276,5,2.8,7.2,2.68774638,1.505137973,3.870354787,0.901762291,10.90176229,5.901762291,4.098237709,,,
22,0.03,0.521892501,5,2.6,7.4,2.609462504,1.356920502,3.862004507,0.313286037,10.31328604,5.313286037,4.686713963,,,
23,0.03,0.506691748,5,2.4,7.6,2.533458742,1.216060196,3.850857288,-0.981940765,9.018059235,4.018059235,5.981940765,,,
24,0.03,0.491933736,5,2.2,7.8,2.459668682,1.08225422,3.837083143,-0.06198051,9.93801949,4.93801949,5.06198051,,,
25,0.03,0.477605569,5,2,8,2.388027846,0.955211139,3.820844554,0.997803274,10.99780327,5.997803274,4.002196726,,,
26,0.03,0.463694727,5,1.8,8.2,2.318473637,0.834650509,3.802296765,-0.193384667,9.806615333,4.806615333,5.193384667,,,
27,0.03,0.450189056,5,1.6,8.4,2.250945279,0.720302489,3.781588068,-0.948310843,9.051689157,4.051689157,5.948310843,,,
28,0.03,0.437076753,5,1.4,8.6,2.185383766,0.611907454,3.758860077,0.436083376,10.43608338,5.436083376,4.563916624,,,
29,0.03,0.424346362,5,1.2,8.8,2.121731812,0.509215635,3.734247988,0.836705168,10.83670517,5.836705168,4.163294832,,,
30,0.03,0.41198676,5,1,9,2.059933798,0.41198676,3.707880836,-0.650219137,9.349780863,4.349780863,5.650219137,,,
0,0.1,1,5,7,3,5,7,3,0,10,5,5,,,
1,0.1,0.909090909,5,6.8,3.2,4.545454545,6.181818182,2.909090909,-0.991778853,9.008221147,4.008221147,5.991778853,,,
2,0.1,0.826446281,5,6.6,3.4,4.132231405,5.454545455,2.809917355,0.253823363,10.25382336,5.253823363,4.746176637,,,
3,0.1,0.751314801,5,6.4,3.6,3.756574005,4.808414726,2.704733283,0.926818505,10.92681851,5.926818505,4.073181495,,,
4,0.1,0.683013455,5,6.2,3.8,3.415067277,4.234683423,2.59545113,-0.491021594,9.508978406,4.508978406,5.491021594,,,
5,0.1,0.620921323,5,6,4,3.104606615,3.725527938,2.483685292,-0.801152636,9.198847364,4.198847364,5.801152636,,,
6,0.1,0.56447393,5,5.8,4.2,2.82236965,3.273948794,2.370790506,0.696058488,10.69605849,5.696058488,4.303941512,,,
7,0.1,0.513158118,5,5.6,4.4,2.565790591,2.873685462,2.25789572,0.623012211,10.62301221,5.623012211,4.376987789,,,
8,0.1,0.46650738,5,5.4,4.6,2.332536901,2.519139853,2.145933949,-0.855504371,9.144495629,4.144495629,5.855504371,,,
9,0.1,0.424097618,5,5.2,4.8,2.120488092,2.205307616,2.035668568,-0.404065219,9.595934781,4.595934781,5.404065219,,,
10,0.1,0.385543289,5,5,5,1.927716447,1.927716447,1.927716447,0.958915723,10.95891572,5.958915723,4.041084277,,,
11,0.1,0.350493899,5,4.8,5.2,1.752469497,1.682370718,1.822568277,0.158652431,10.15865243,5.158652431,4.841347569,,,
12,0.1,0.318630818,5,4.6,5.4,1.593154089,1.465701761,1.720606416,-0.999519224,9.000480776,4.000480776,5.999519224,,,
13,0.1,0.28966438,5,4.4,5.6,1.448321899,1.274523271,1.622120527,0.097151904,10.0971519,5.097151904,4.902848096,,,
14,0.1,0.263331254,5,4.2,5.8,1.316656272,1.105991268,1.527321275,0.974655392,10.97465539,5.974655392,4.025344608,,,
15,0.1,0.239392049,5,4,6,1.196960247,0.957568197,1.436352296,-0.346592904,9.653407096,4.653407096,5.346592904,,,
16,0.1,0.217629136,5,3.8,6.2,1.088145679,0.826990716,1.349300642,-0.885952778,9.114047222,4.114047222,5.885952778,,,
17,0.1,0.197844669,5,3.6,6.4,0.989223345,0.712240808,1.266205881,0.573332477,10.57333248,5.573332477,4.426667523,,,
18,0.1,0.17985879,5,3.4,6.6,0.89929395,0.611519886,1.187068013,0.7392213,10.7392213,5.7392213,4.2607787,,,
19,0.1,0.163507991,5,3.2,6.8,0.817539954,0.523225571,1.111854338,-0.762519447,9.237480553,4.237480553,5.762519447,,,
20,0.1,0.148643628,5,3,7,0.74321814,0.445930884,1.040505396,-0.544071696,9.455928304,4.455928304,5.544071696,,,
21,0.1,0.135130571,5,2.8,7.2,0.675652855,0.378365599,0.972940111,0.901762291,10.90176229,5.901762291,4.098237709,,,
22,0.1,0.122845974,5,2.6,7.4,0.614229868,0.319399531,0.909060204,0.313286037,10.31328604,5.313286037,4.686713963,,,
23,0.1,0.111678158,5,2.4,7.6,0.558390789,0.268027579,0.848753999,-0.981940765,9.018059235,4.018059235,5.981940765,,,
24,0.1,0.101525598,5,2.2,7.8,0.50762799,0.223356316,0.791899664,-0.06198051,9.93801949,4.93801949,5.06198051,,,
25,0.1,0.092295998,5,2,8,0.461479991,0.184591996,0.738367985,0.997803274,10.99780327,5.997803274,4.002196726,,,
26,0.1,0.083905453,5,1.8,8.2,0.419527264,0.151029815,0.688024714,-0.193384667,9.806615333,4.806615333,5.193384667,,,
27,0.1,0.076277684,5,1.6,8.4,0.381388422,0.122044295,0.640732549,-0.948310843,9.051689157,4.051689157,5.948310843,,,
28,0.1,0.069343349,5,1.4,8.6,0.346716747,0.097080689,0.596352806,0.436083376,10.43608338,5.436083376,4.563916624,,,
29,0.1,0.063039409,5,1.2,8.8,0.315197043,0.07564729,0.554746796,0.836705168,10.83670517,5.836705168,4.163294832,,,
30,0.1,0.057308553,5,1,9,0.286542767,0.057308553,0.51577698,-0.650219137,9.349780863,4.349780863,5.650219137,,,
