Time,Region,Value,Detail
2018,Thailand,0.710103,
1961,Malaysia,0.043302,
1962,Malaysia,0.046175,
1963,Malaysia,0.049073,
1964,Malaysia,0.0529,
1965,Malaysia,0.059,
1966,Malaysia,0.0674,
1967,Malaysia,0.0785,
1968,Malaysia,0.0991,
1969,Malaysia,0.1254,
1970,Malaysia,0.1499,
1971,Malaysia,0.184,
1972,Malaysia,0.2351,
1973,Malaysia,0.2783,
1974,Malaysia,0.3298,
1975,Malaysia,0.385666,
1976,Malaysia,0.454009,
1977,Malaysia,0.521486,
1978,Malaysia,0.603087,
1979,Malaysia,0.670299,
1980,Malaysia,0.777388,
1981,Malaysia,0.848143,
1982,Malaysia,0.888619,
1983,Malaysia,1.010879,
1984,Malaysia,1.072451,
1985,Malaysia,1.20101,
1986,Malaysia,1.360579,
1987,Malaysia,1.373147,
1988,Malaysia,1.530905,
1989,Malaysia,1.672096,
1990,Malaysia,1.746054,
1991,Malaysia,2.094028,
1992,Malaysia,2.19766,
1993,Malaysia,2.305925,
1994,Malaysia,2.411999,
1995,Malaysia,2.540087,
1996,Malaysia,2.692286,
1997,Malaysia,2.893089,
1998,Malaysia,3.078116,
1999,Malaysia,3.313393,
2000,Malaysia,3.376664,
2001,Malaysia,3.499012,
2002,Malaysia,3.670243,
2003,Malaysia,3.80204,
2004,Malaysia,3.875327,
2005,Malaysia,4.051374,
2006,Malaysia,4.165215,
2007,Malaysia,4.304913,
2008,Malaysia,4.487957,
2009,Malaysia,4.69116,
2010,Malaysia,4.853766,
2011,Malaysia,5.000109,
2012,Malaysia,5.076929,
2013,Malaysia,5.229739,
2014,Malaysia,4.689321,
2015,Malaysia,4.859397,
2016,Malaysia,5.001438,
2017,Malaysia,5.110713,
2018,Malaysia,5.235581,
