Series,Source,Title,SubTitle,SubTitle2,Type,Colour,startDate,frequency,dataPage,articlesECO,dataLink,dataType,rank,mark,order,indexToCh,Country,API_base,API_Full
DFF,FRED,Fed Funds,Effective Federal Reserve Rate,,Headline,red,1960,annual,https://fred.stlouisfed.org/series/DFF,,https://raw.githubusercontent.com/RDeconomist/RDeconomist.github.io/main/data/uk/data_UK_BankRate.csv,json,1,line,11,0,US,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=DFF
XYZ,BoE,Exchange Rate,GBP-USD rate,,Headline,red,1960,daily,,,https://raw.githubusercontent.com/RDeconomist/RDeconomist.github.io/main/data/uk/data_UK_exrUSDGBP.csv,csv,1,line,12,0,US,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=XYZ
PAYEMS,FRED,Employment,Non-farm payroll,,Headline,red,1960,monthly,https://fred.stlouisfed.org/series/PAYEMS,,,json,1,line,13,0,US,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=PAYEMS
LES1252881600Q,FRED,Pay,Median - inflation adjusted,,,red,1960,,https://fred.stlouisfed.org/series/LES1252881600Q,,,json,4,line,14,0,US,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=LES1252881600Q
PSAVERT,FRED,Saving rate,As % of disposale income,,,red,1960,,https://fred.stlouisfed.org/series/PSAVERT,,,json,4,line,15,0,US,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=PSAVERT
EXPGS,FRED,Exports,Goods - GBP million,,Trade,red,1980,quarters,https://fred.stlouisfed.org/series/EXPGS,https://www.economicsobservatory.com/how-has-the-pandemic-affected-international-trade-across-the-uk,,json,2,line,16,0,US,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=EXPGS
IMPGS,FRED,Imports,Goods - GBP million,,Trade,red,1980,quarters,https://fred.stlouisfed.org/series/IMPGS,,,json,2,line,17,0,US,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=IMPGS
B4380C0A173NBEA,FRED,Military,Employment - thousands,,Public Sector,red,1930,quarters,https://fred.stlouisfed.org/series/B4380C0A173NBEA,https://www.economicsobservatory.com/what-would-be-the-economic-consequences-of-a-military-stalemate-in-ukraine,,json,3,line,18,0,US,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=B4380C0A173NBEA
,,Affordability,House price to income ratio,,Housing,red,1969,annual,,,https://raw.githubusercontent.com/RDeconomist/RDeconomist.github.io/main/data/uk/data_UK_HousePricesToIncomeRatio.csv,json,5,line,,0,,,
,,Redundancies,UK - thousands,,Labour market,red,1997,quarters,,https://www.economicsobservatory.com/how-has-the-uk-labour-market-fared-in-recessions-and-recoveries-since-1872,,json,5,line,,0,,,
,,Long weeks,45+ hours work - % employees,,Labour market,red,1992,quarters,,https://www.economicsobservatory.com/coronavirus-careers-and-mental-health-what-are-links,,json,5,line,,0,,,
,,Public Sector,Employment - thousands,,Public Sector,red,1980,quarters,,https://www.economicsobservatory.com/who-has-financed-higher-government-spending-during-pandemic,,json,5,line,,0,,,
,,Police,Employment - thousands,,Public Sector,red,1999,quarters,,https://www.economicsobservatory.com/how-are-crime-trends-in-england-and-wales-changing-during-the-pandemic,,json,5,line,,0,,,
,,Teachers,Employment - thousands,,Public Sector,red,1999,quarters,,https://www.economicsobservatory.com/how-best-should-school-resources-be-deployed-response-covid-19-crisis,,json,5,line,,0,,,
,,Marriages,Per thousand population,,Society,red,1800,annual,,,https://raw.githubusercontent.com/RDeconomist/RDeconomist.github.io/main/data/uk/data_UK_MarriageRate.csv,json,5,line,,0,,,
,,Divorces,Per thousand - male,,Society,red,1950,annual,,,https://raw.githubusercontent.com/RDeconomist/RDeconomist.github.io/main/data/uk/data_UK_DivorceRate.csv,json,5,line,,0,,,
,,Holidays,UK visits abroad - thousand,,Consumption,red,1986,years,,https://www.economicsobservatory.com/update-how-is-covid-19-affecting-international-travel-and-tourism,,json,5,line,,0,,,
,,Tourists,Foreign visitors to UK - thousand,,Consumption,red,1986,years,,https://www.economicsobservatory.com/update-how-is-covid-19-affecting-international-travel-and-tourism,,json,5,line,,0,,,
